"","WARD","FAC_NUM","ELEC_NUM","SCHOOLS","TRADE","HEALTH","E_SCHOOLS","E_TRADE","E_HEALTH","Male","Female","total_pop","fac_1000","elec_fac_1000","schools_1000","trade_1000","health_1000","e_schools_1000","e_trade_1000","e_health_1000","crop_diversity","crop_intensity","gov_irrigation","prop_irrigation","small_irrigation","distance_major_roads","distance_second_roads","distance_major_town","water_points","num_equity","distance_rivers","num_offgrid","ward_area","dist_trans","pop_density"
"1","ABAKAILE",5,0,0,1,4,0,0,0,104,1279,1383,3.615328995,0,0,0.723065799,2.892263196,0,0,0,0,0,0,0,0,21.76340791,21.76340791,79922.34355637,0,0,34.0621946028,0,1479,230,0.935091277890467
"2","ABOGETA EAST",11,11,11,0,0,11,0,0,1253,721,1974,5.572441743,5.572441743,5.572441743,0,0,5.572441743,0,0,6.04,46,0,0,14,3.53057365585,3.53057365585,18384.26078829,0,0,35.7590246689,0,83,37,23.7831325301205
"3","ABOGETA WEST",12,12,12,0,0,12,0,0,1111,559,1670,7.185628743,7.185628743,7.185628743,0,0,7.185628743,0,0,5.865,75,0,0,10,14.8216612839,14.8216612839,22557.00062755,0,0,22.6458134323,0,167,47,10
"4","ABOTHUGUCHI CENTRAL",16,16,13,3,0,13,3,0,1267,718,1985,8.060453401,8.060453401,6.549118388,1.511335013,0,6.549118388,1.511335013,0,4.03166667,51.66666667,0,0,9,8.48561605004,8.48561605004,10652.75328444,0,0,39.2575687089,0,156,41,12.724358974359
"5","ABOTHUGUCHI WEST",172,172,54,70,48,54,70,48,1337,771,2108,81.59392789,81.59392789,25.61669829,33.20683112,22.77039848,25.61669829,33.20683112,22.77039848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","ADU",33,5,5,23,5,1,3,1,1462,881,2343,14.08450704,2.134016219,2.134016219,9.816474605,2.134016219,0.426803244,1.280409731,0.426803244,0,32.20930233,1,0,6,51.3738171107,51.3738171107,63160.26310589,13,1,24.6616228664,0,5305,59,0.441658812441093
"7","AGENG'A NANGUBA",31,18,8,18,5,6,10,2,855,282,1137,27.26473175,15.83113456,7.036059807,15.83113456,4.397537379,5.277044855,8.795074758,1.759014952,4.14,67.5,0,0,3,18.5982181171,18.5982181171,33004.53550196,0,0,12.4763151688,0,85,55,13.3764705882353
"8","AGUTHI GAAKI",12,2,0,10,2,0,0,2,929,344,1273,9.426551453,1.571091909,0,7.855459544,1.571091909,0,0,1.571091909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","AHERO",22,22,10,10,2,10,10,2,1329,731,2060,10.67961165,10.67961165,4.854368932,4.854368932,0.970873786,4.854368932,4.854368932,0.970873786,1.80272727,65.23809524,0,0,6,0.78704276007,0.78704276007,19524.38929857,0,0,1.43567418566,0,83,10,24.8192771084337
"10","AIRBASE",4,4,3,1,0,3,1,0,1427,876,2303,1.736864959,1.736864959,1.302648719,0.43421624,0,1.302648719,0.43421624,0,0,0,0,0,0,1.63806179806,1.63806179806,5861.90412366,0,8,12.7706507569,0,6,0,383.833333333333
"11","ALALE",21,0,2,12,7,0,0,0,1469,898,2367,8.871989861,0,0.844951415,5.069708492,2.957329954,0,0,0,0,35,0,0,0,53.5492032668,53.5492032668,96437.38226822,0,1,31.5589208388,0,1109,62,2.13435527502254
"12","AMUKURA CENTRAL",18,6,6,8,4,3,1,2,576,1627,2203,8.17067635,2.723558783,2.723558783,3.631411711,1.815705856,1.361779392,0.453926464,0.907852928,3.228,40,0,0,0,11.4785283,11.4785283,35848.65823391,0,0,29.6894477479,0,52,17,42.3653846153846
"13","AMUKURA EAST",23,14,5,15,3,2,10,2,740,158,898,25.61247216,15.59020045,5.567928731,16.70378619,3.340757238,2.227171492,11.13585746,2.227171492,2.47285714,45,0,0,5,7.97937728667,7.97937728667,29689.42258389,0,0,28.2949276155,0,72,13,12.4722222222222
