CENTRAL PROVINCE,,,,,,,,,,
KIAMBU COUNTY,,,,,,,,,,
GATUNDU NORTH CONSTITUENCY,,,,,,,,,,
ELECTRIFIED PUBLIC FACILITIES,,,,,,,,,,
WARD,NO.,TRADING CENTRES,,,SEC SCHOOLS/POLY,,,HEALTH CENTRES,,
MANGU,1,KARURI TC,,,GIKINDU SEC,,,MUKUYUINI DISP,,
,2,MANGU TC,,,MUKURWA SEC,,,,,
,3,MITERO TC,,,MUTUMA SEC,,,,,
,4,MUKURWE TC,,,NYAMABGERA SEC,,,,,
,5,MUKUYUINI TC,,,ST FRANCIS GIRLS MANGU,,,,,
,6,MUTUMA TC,,,ST JOSEPH THEWERKER ,,,,,
GITUAMBA ,7,KANYONI ,,,GITUAMBA POLY ,,,KANYONI H/C,,
,8,NDIKO,,,KANYONI SEC ,,,GITUAMBA H/C ,,
,9,MATAARA,,,ST PETER SEC ,,,NGORONGO H/C ,,
,10,MARIANI,,,KIANGUNO SEC ,,,MATAARA H/C ,,
,11,NJATHA INI,,,NCHIKO SEC ,,,,,
,12,GITUAMBA,,,MATAARA SEC,,,,,
,13,KIRIKO ,,,MARIA-INI SEC,,,,,
,14,IGAMBA,,,IRURI SEC ,,,,,
,15,NGETHU ,,,KIRIKO   SEC,,,,,
,16,NGORONGO ,,,NDEKEI SEC,,,,,
,17,,,,NGETHU  SEC,,,,,
,18,,,,GATUNGURU  SEC,,,,,
,19,,,,,,,,,
CHANIA ,20,KAMWANGI TC ,,,KEGANIA SEC ,,,KEGANIA HOSP,,
,21,IGEGANIA TC ,,,KANJUKU SEC ,,,,,
,22,KANJUKU TC ,,,KAIRI SEC ,,,,,
,23,KAIRI TC ,,,EMMACULATE GIRLS SEC ,,,,,
,24,MAKWA TC ,,,MAKWA SEC ,,,,,
,25,,,,MAKISA YOUTH POLY ,,,,,
,26,BANGURO,,,BISHOP NDINGI MUKURWE,,,GACHEGE H/C,,
,27,BARIGITU,,,GACEGE,,,GAKOE H/C,,
,28,GACHEGE,,,GAKOE HIGH,,,GATEI,,
,29,GAKUI,,,GAKOE POLY.,,,GITUAMBA H/C,,
,30,GATEI,,,GAKUI,,,IGEGANIA SUB. DIST.HOSP,,
,31,GATHAITE,,,GATEI  ,,,KAIBERE DISP.,,
,32,GATHIRWA TBC ,,,I.H.M. KAIRI GIRLS,,,KAIRI H/C,,
,33,GATUKUYU,,,IGEGANIA,,,KIRIKO DISP.,,
,34,GATUNGURU,,,KAIBERE,,,MATAARA DISP.,,
,35,GIATUTU,,,KAINIMWE,,,MBICI DISP,,
,36,HA-KAHATA,,,KAIRI BOYS HIGH,,,MIIRI DISP.,,
,37,IGEGANIA,,,KAIRI RUMWE,,,NGORONGO H/C,,
,38,KAIBERE (BADEA),,,KAMUNYAKA,,,NJAHI DISP.,,
,39,KAIRURA,,,KAMWANGI POLY,,,,,
,40,KAMUHINDI (BADEA),,,KAMWIRIGI,,,,,
,41,KAMWANGI,,,KANGAITA,,,,,
,42,KAMWIRIGI,,,KANJUKU,,,,,
,43,KANGOO,,,KIANGUNU,,,,,
,44,KANGWATHI,,,KIANGURIO,,,,,
,45,KANJABI,,,MAGUMU,,,,,
,46,KANJUKU,,,MAKURA,,,,,
,47,KARIMINU,,,MAKUYU-INI,,,,,
,48,KIANGUNU,,,MAKWA  ,,,,,
,49,KIBAU - INI AREA,,,MATUMA  ,,,,,
,50,KIENI FOREST STN.(BADEA),,,MBICHI POLY.,,,,,
,51,KOIMBIRIRE,,,MBICHI SEC,, ,,,
,52,LEGCO,,,MUKURUINI,, ,,,
,53,MAKOHOKOHO(BADEA),,,MUTHUNGUCI,, ,,,
,54,MAKWA T/C & YOUTH CENTRE,,,NDEKEI  ,, ,,,
,55,MBICI,,,NDIKO,, ,,,
,56,MIIRI (BADEA),,,NJAHI,, ,,,
,57,MIUGU TBC ,,,NOEKEI,, ,,,
,58,MUCHAKAI,,,NYAMATHUMBI,, ,,,
,59,MUCHERERE,,,OUR LADY OF FATIMA KIRIKO,, ,,,
,60,MUTHUNGUCI,,,SOUTH KANYONI,, ,,,
,61,MWIMUTO KAIBERE,,,ST. JOHN GAKOE MIXED HIGH,, ,,,
,62,NGELELIA,,,ST.STEPHENS NDIKO,,,,,
,63,NGORONGO,,,,, ,,,
,64,NJAHI,,,,, ,,,
,65,NYAMANG'ARA,,,,, ,,,
,66,THURAKU TBC ,,,,,,,,
,67,WANDATHI MKT (BADEA),,,,, ,,,
,TOTAL,63,,,61,,,19,,
GATUNDU NORTH CONSTITUENCY,,,,,,,,,,
UNELECTRIFIED PUBLIC FACILITIES,,,,,,,,,,
WARD,NO.,TRADING CENTRES,,COST,SEC SCHOOLS/POLY,,COST,HEALTH CENTRES,,COST
MANGU,1,GAITARA TC,,,MAKWA YOUTH POLY,,,,,
,2,GATUKUYU TC,,,NYAMANGARA YOUTH ,,,,,
,3,KANGOO TC,,,,,,,,
,4,MAKWA TC,,,,,,,,
GITHOBOKONI ,5,MUTHAGE ,,,GAKOE POLY ,,,MIIRI H/C ,,
,6,KANDAKOMU,,,MCIRI POLY ,,,MITHUNGUCI H/C ,,
,7,TAMBAYA AREA ,,,KAMUNYAKA SEC ,,,KAIBERE DISP,,
,8,MWIMUTO LOWER ,,,JAMES NJENGA POLY ,,,KAMUNYAKA DISP,,
,9,KIERETHWA AREA ,,,KAIBERE SEC ,,,,,
CHANIA ,10,THENGEINI VILLAGE ,0.8,,KAMWANGI YOUTH POLY ,,,MAKWA DISP ,,
,11,KARIUA VILLAGE,1,,KAIRI YOUTH POLY ,,,,,
,12,GITHUNGURI KAIRI,1,,KAIRI INDUSTRIAL CENTRE ,,,,,
,TOTAL,12,2.8,,10,,,5,,
SUMMARY ,,,,,,,,,,
, , ,,,NO.,,,PERCENTAGE,,
, ,TOTAL  FACILITIES   ,,,170,,, ,,
, ,ELECTRIFIED,,,143,,,84%,,
, ,UNELECTRIFIED,,,27,,,16%,,
GATUNDU SOUTH CONSTITUENCY,,,,,,,,,,
ELECTRIFIED PUBLIC FACILITIES,,,,,,,,,,
WARD,NO.,TRADING CENTRES,,,SEC SCHOOLS/POLY,,,HEALTH CENTRES,,
NDARUGU,1,KARATU TC,,,KARINGA ,,,KARATU HC,,
,2,GITWE TC,,,KIBIRU ,,,KARINGA HC,,
,3,ITURAMIRO TC,,,MURURIA ,,,MUNYUINI HC,,
,4,KIRANGI TC,,,,,,,,
,5,KURI TC,,,,,,,,
NGENDA,6,,,,GATHURI SEC,,,GATUNDU HOSPITAL,,
,7,,,,HANDEGE SEC,,,KAMUNYU HC,,
,8,,,,IKUMA SEC,,,MUKINYE HC,,
,9,,,,KACIRI SEC,,,MUTOMO HC,,
,10,,,,KAHUGUINI SEC,,,,,
,11,,,,KIMUNYU SEC,,,,,
,12,,,,MUTHURUMBI SEC,,,,,
,13,,,,WAMWANGI SEC,,,,,
KIGANJO ,14,NDUNDU ,,,UCEKE -INI SEC ,,,MUNDORO H/C ,,
,15,MUNDORO,,,GATHIRU SEC ,,,GACHIKA DISP ,,
,16,GACHIKA,,,NDUNDU SEC ,,,GITARE H/C,,
,17,GATHIRU,,,GACHIKA SEC ,,,KIGANJO DISP ,,
,18,KARANGI,,,GITARE SEC ,,,NDUNDU DISP ,,
,19,KAHATA,,,KIAMWORIA SEC ,,,KABUTETI DISP ,,
,20,KIGANJO,,,KIGANJO SEC ,,,,,
,21,WANDUTU,,,KIGANJO POLY ,,,,,
,22,GITARE,,,,,,,,
,23,KAIRI-INI,,,,,,,,
,24,HANJEMI,,,,,,,,
,25,KIAMWORIA ,,,,,,,,
,26,GICHUKA CF ,,,,,,,,
,27,WAIGANJO TC ,,,,,,,,
,28,ROI,,,,,,,,
,29,KIAWANDIGA,,,,,,,,
,30,WANGUI,,,,,,,,
,31,MARIGUITI,,,,,,,,
KIAMWANGI ,32,MUTATI ,,,NEMBU SEC ,,,NGEDA H/C ,,
,33,KIAMWANGI ,,,NGINDA SEC ,,,MUTATI H/C ,,
,34,NEMBU ,,,KIAMWANGI SEC ,,,,,
,35,GATHAGE ,,,GATITU SEC ,,,,,
,36,GWATHAMIRI ,,,GATHAGE SEC ,,,,,
,37,KIJAA ,,,,,,,,
,38,KIGONGO ,,,,,,,,
,39,DUNDU,,,GACHIKA ,,,AIC KABUTETI DISP,,
,40,GACHARAGE,,,GATHIRU ,,,GACHUKA DISP,,
,41,GAITEGI,,,GATITU GIRLS,,,GACIIKA DISP,,
,42,GAITETE,,,GATITU MIXED,,,GAKUE H/C,,
,43,GATEI CF ,,,GATUNDU ,,,GITHARURU DISP.,,
,44,GATHAGE,,,GATURU,,,IGEGANI RHDC,,
,45,GATUAGE,,,GIKURE ,,,MUTATU DISP,,
,46,GATUIKIRA,,,GITEME,,,MUTUNGURU DISP,,
,47,GATUNDU,,,GITHARURU ,,,NGENDA H/C,,
,48,GIKOBU,,,GITHUNGUCHU POLY,,,,,
,49,GIKURE,,,GITHUYA,,,,,
,50,GITATI-INI,,,GITUARURU,,,,,
,51,GITEME,,,ICACIRI,,,,,
,52,GITHUNGURI TBC ,,,ITURU  H.  ,,,,,
,53,GITUNDU-HA-JACK,,,KAGIO ,,,,,
,54,GITURU,,,KAMUTUA ,,,,,
,55,HA KIARIE,,,KIAMWONA,,, ,,
,56,HAJIMMY,,,LEACIN,,, ,,
,57,HAKAGUNYI,,,MUHOHO HIGH,,, ,,
,58,HAKAHATA,,,MUNYU-INI ,,, ,,
,59,HANDEGE,,,MUTHIGA GIRLS,,, ,,
,60,HAWAKARURU MKT ,,,MUTUIGA GIRLS,,, ,,
,61,ICACIRI,,,MUTUNGURU,,, ,,
,62,ICHAWERI,,,NDARUGU ,,, ,,
,63,ITURU,,,NDUNDU,,, ,,
,64,KAGEMA,,,NEMBU,,, ,,
,65,KAGUMOINI,,,NGENDA,,, ,,
,66,KAHENIA MILK COLLECTION CENTRE (WIP),,,RUBIRI,,, ,,
,67,KAMBARA,,,,,, ,,
,68,KAMUGIRI,,,,,, ,,
,69,KAMUTUA (BADEA),,,,,, ,,
,70,KARINGA-INI(WIP),,,,,, ,,
,71,KATIUGUINI,,,,,, ,,
,72,KIAMWONA,,,,,, ,,
,73,KIAMWORIA,,,,,, ,,
,74,KIGAA,,,,,, ,,
,75,KIGANJA,,,,,, ,,
,76,KIGONGO,,,,,, ,,
,77,KIHARA,,,,,, ,,
,78,KIMARATIA,,,,,, ,,
,79,KIMARURI TBC ,,,,,, ,,
,80,KIMEE TBC ,,,,,, ,,
,81,KIRATINA-INI,,,,,, ,,
,82,KUHUGUINI,,,,,, ,,
,83,KURI (-EIP),,,,,, ,,
,84,KWAMUCHERU TBC ,,,,,, ,,
,85,MAJENGO TBC/KIAWANDIGA,,, ,,, ,,
,86,MARARO,,, ,,, ,,
,87,MATHAGE TBC ,,,,,, ,,
,88,MATUGA,,,,,, ,,
,89,MBOGOINI,,, ,,, ,,
,90,MBOGORO  (BADEA),,, ,,, ,,
,91,MUIRI,,, ,,, ,,
,92,MUITUKU,,, ,,, ,,
,93,MUKINGE,,, ,,, ,,
,94,MUKINYE,,, ,,, ,,
,95,MUKINYI,,,,,,,,
,96,MUNYUINI/TURAMIRO MKT ,,, ,,, ,,
,97,MUTATI,,, ,,, ,,
,98,MUTIUGU,,,,,,,,
,99,MUTOMO,,, ,,, ,,
,100,NDUNDU,,, ,,, ,,
,101,NEMBU,,,,,,,,
,102,NG'ENDA,,, ,,, ,,
,103,RITHO,,, ,,, ,,
,104,RUBURI,,, ,,, ,,
,105,RWAMBIRA,,, ,,, ,,
,106,THEGI,,, ,,, ,,
,107,WAMUGUTHUKO,,,,,,,,
,108,WAMWANGI,,, ,,, ,,
,109,WANUGU,,, ,,, ,,
,TOTAL,101,,,52,,,24,,
GATUNDU SOUTH CONSTITUENCY,,,,,,,,,,
UNELECTRIFIED PUBLIC FACILITIES,,,,,,,,,,
