WARD,FAC_NUM,ELEC_NUM,SCHOOLS,TRADE,HEALTH,E_SCHOOLS,E_TRADE,E_HEALTH,Male,Female,total_pop,fac_1000,elec_fac_1000,schools_1000,trade_1000,health_1000,e_schools_1000,e_trade_1000,e_health_1000
ABAKAILE,5,0,0,1,4,0,0,0,104,1279,1383,3.615328995,0,0,0.723065799,2.892263196,0,0,0
ABOGETA EAST,11,11,11,0,0,11,0,0,1253,721,1974,5.572441743,5.572441743,5.572441743,0,0,5.572441743,0,0
ABOGETA WEST,12,12,12,0,0,12,0,0,1111,559,1670,7.185628743,7.185628743,7.185628743,0,0,7.185628743,0,0
ABOTHUGUCHI CENTRAL,16,16,13,3,0,13,3,0,1267,718,1985,8.060453401,8.060453401,6.549118388,1.511335013,0,6.549118388,1.511335013,0
ABOTHUGUCHI WEST,172,172,54,70,48,54,70,48,1337,771,2108,81.59392789,81.59392789,25.61669829,33.20683112,22.77039848,25.61669829,33.20683112,22.77039848
ADU,33,5,5,23,5,1,3,1,1462,881,2343,14.08450704,2.134016219,2.134016219,9.816474605,2.134016219,0.426803244,1.280409731,0.426803244
AGENG'A NANGUBA,31,18,8,18,5,6,10,2,855,282,1137,27.26473175,15.83113456,7.036059807,15.83113456,4.397537379,5.277044855,8.795074758,1.759014952
AGUTHI GAAKI,12,2,0,10,2,0,0,2,929,344,1273,9.426551453,1.571091909,0,7.855459544,1.571091909,0,0,1.571091909
AHERO,22,22,10,10,2,10,10,2,1329,731,2060,10.67961165,10.67961165,4.854368932,4.854368932,0.970873786,4.854368932,4.854368932,0.970873786
AIRBASE,4,4,3,1,0,3,1,0,1427,876,2303,1.736864959,1.736864959,1.302648719,0.43421624,0,1.302648719,0.43421624,0
ALALE,21,0,2,12,7,0,0,0,1469,898,2367,8.871989861,0,0.844951415,5.069708492,2.957329954,0,0,0
AMUKURA CENTRAL,18,6,6,8,4,3,1,2,576,1627,2203,8.17067635,2.723558783,2.723558783,3.631411711,1.815705856,1.361779392,0.453926464,0.907852928
AMUKURA EAST,23,14,5,15,3,2,10,2,740,158,898,25.61247216,15.59020045,5.567928731,16.70378619,3.340757238,2.227171492,11.13585746,2.227171492
AMUKURA WEST,9,5,2,4,3,1,2,2,351,1422,1773,5.076142132,2.820078962,1.128031585,2.25606317,1.692047377,0.564015792,1.128031585,1.128031585
ANG'OROM,6,4,0,6,0,0,4,0,849,272,1121,5.352363961,3.56824264,0,5.352363961,0,0,3.56824264,0
ANG'URAI EAST,19,14,7,8,4,5,6,3,240,1315,1555,12.21864952,9.003215434,4.501607717,5.144694534,2.572347267,3.215434084,3.8585209,1.92926045
ANG'URAI NORTH,29,10,9,16,4,4,4,2,742,163,905,32.0441989,11.04972376,9.944751381,17.67955801,4.419889503,4.419889503,4.419889503,2.209944751
ANG'URAI SOUTH,20,13,8,9,3,6,6,1,574,2,576,34.72222222,22.56944444,13.88888889,15.625,5.208333333,10.41666667,10.41666667,1.736111111
ANGATA BARIKOI,17,9,4,9,4,3,4,2,822,288,1110,15.31531532,8.108108108,3.603603604,8.108108108,3.603603604,2.702702703,3.603603604,1.801801802
ARABIA,25,0,2,21,2,0,0,0,987,601,1588,15.74307305,0,1.259445844,13.22418136,1.259445844,0,0,0
ARBAJAHAN,14,0,5,4,5,0,0,0,652,296,948,14.76793249,0,5.274261603,4.219409283,5.274261603,0,0,0
ARROR,18,8,6,8,4,3,3,2,1543,977,2520,7.142857143,3.174603175,2.380952381,3.174603175,1.587301587,1.19047619,1.19047619,0.793650794
ASHABITO,3,2,1,1,1,1,0,1,1468,929,2397,1.251564456,0.834376304,0.417188152,0.417188152,0.417188152,0.417188152,0,0.417188152
