"","WARD","COUNTY","STATUS","TYPE"
"1","MANG'U","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"2","MANG'U","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3","MANG'U","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"4","MANG'U","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"5","MANG'U","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"6","MANG'U","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"7","MANG'U","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"8","MANG'U","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"9","MANG'U","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"10","MANG'U","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"11","MANG'U","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"12","MANG'U","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13","MANG'U","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"14","GITUAMBA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"15","GITUAMBA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"16","GITUAMBA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"17","GITUAMBA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"18","GITUAMBA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"19","GITUAMBA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"20","GITUAMBA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"21","GITUAMBA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"22","GITUAMBA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"23","GITUAMBA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"24","GITUAMBA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"25","GITUAMBA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"26","GITUAMBA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"27","GITUAMBA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"28","GITUAMBA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"29","GITUAMBA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"30","GITUAMBA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"31","GITUAMBA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"32","GITUAMBA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"33","GITUAMBA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"34","GITUAMBA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
