"","TOWN","LAT","LNG"
"2","3G market","-1.278978","36.9157262"
"5","Baragoi","1.783333","36.783333"
"6","Bara-Inya","-3.9333333","39.7666667"
"7","Baricho","-3.1","39.783333"
"8","Bellevue","-1.2842361","36.8397895"
"9","Birithia","-0.5265429","36.9405039"
"17","Chaka","-1.290488","36.7904508"
"18","Charity","-0.2989778","36.0748932"
"19","Chera","-0.3750881","37.6727331"
"20","Chiakaringa","-0.2775987","37.9195125"
"21","Chiakaringa","-0.2775987","37.9195125"
"23","Chogoria","-0.2279535","37.6306782"
"24","Chomo","-0.9024885","36.8949544"
"27","Delmonte","-1.0611258","37.2291504"
"28","Delmonte","-1.0611258","37.2291504"
"31","Embaringo","0.6242788","36.0675952"
"32","Endarasha","-0.3067091","36.793642"
"33","Engineer","-0.6063765","36.5763184"
"34","Fathi","-4.0536028","39.6857929"
"35","Flyover","-1.2705173","36.8377938"
"36","Flyover","-1.2705173","36.8377938"
"37","Flyover","-1.2705173","36.8377938"
"38","Flyover","-1.2705173","36.8377938"
"39","Flyover","-1.2705173","36.8377938"
"40","Gacatha","-0.5440824","37.3830573"
"41","Gacatha","-0.5440824","37.3830573"
"42","Gacharage","-0.7519066","36.8791743"
"43","Gacharage","-0.7519066","36.8791743"
"44","Gacharage","-0.7519066","36.8791743"
"45","Gachege","-0.9","36.8"
"46","Gachiche","-1.2211453","36.7795677"
"47","Gachiche","-1.2211453","36.7795677"
"48","Gachiche","-1.2211453","36.7795677"
"49","Gachoka","-0.616667","37.533333"
"50","Gachoka","-0.616667","37.533333"
"51","Gachuriri","-0.7147814","37.5211392"
"53","Gaitheri","-1.316363","36.8388335"
"54","Gakindu","-0.5640702","36.9995499"
"55","Gakindu","-0.5640702","36.9995499"
"56","Gakindu","-0.5640702","36.9995499"
"57","Gakindu","-0.5640702","36.9995499"
"58","Gakindu","-0.5640702","36.9995499"
"59","Gakindu","-0.5640702","36.9995499"
"60","Gakira","-0.68121","36.965691"
"61","Gakira","-0.68121","36.965691"
"62","Gakira Market","-0.6853042","36.9635707"
"63","Gakira Town","-0.6850799","36.9641818"
"64","Gakoe","-1.3120192","36.8636795"
"65","Gakoromone","0.0487304","37.6658535"
"66","Gakoromone","0.0487304","37.6658535"
"67","Gakui","-0.9388726","36.9198424"
"68","Gakui","-0.9388726","36.9198424"
"72","Gakurwe","-0.6333333","37.0166667"
"73","Gakurwe","-0.6333333","37.0166667"
"74","Gakuyu","-1.2543366","36.681661"
"76","Gangara","-0.629844","37.71933"
"77","Garage","-1.305042","36.8471927"
"78","Garage","-1.305042","36.8471927"
"79","Gatara","-0.7294396","36.8788788"
"80","Gategi","-0.7500702","37.4234424"
"81","Gategi","-0.7500702","37.4234424"
"83","Gathage","-1.051067","36.907073"
"84","Gathanje","-1.08","36.78"
"85","Gathanje","-1.08","36.78"
"86","Gathanji","-0.6","36.9166669"
"87","Gatheru Town","-0.73","37.07"
"88","Gathigiriri","-0.691268","37.4050884"
"89","Gathigiriri","-0.691268","37.4050884"
"90","Gathugu","-0.9003188","36.9720063"
"96","Gatitu","-0.894142","37.03957"
"97","Gatitu","-0.894142","37.03957"
"98","Gatitu","-0.894142","37.03957"
"99","Gatitu","-0.894142","37.03957"
"101","Gatugi","-0.5352774","36.9618312"
"102","Gatugura","-0.5387694","37.0373502"
"103","Gatugura","-0.5387694","37.0373502"
"105","Gatukuyu","-0.9850648","36.9667423"
"106","Gatukuyu","-0.9850648","36.9667423"
"107","Gatukuyu","-0.9850648","36.9667423"
"108","Gatukuyu","-0.9850648","36.9667423"
"109","Gatukuyu","-0.9850648","36.9667423"
"110","gatukuyu","-0.9850648","36.9667423"
"111","Gatumba","-3.333333","29.25"
"112","Gatumbi","-0.4201419","37.3923212"
"113","Gatumbi","-0.4201419","37.3923212"
"114","Gatumbiro","-0.4614101","36.8679392"
"115","Gatundia","-1.0130645","36.9050566"
"116","Gatundia","-1.0130645","36.9050566"
"117","Gatundia","-1.0130645","36.9050566"
"118","Gatundu","-1.0130645","36.9050566"
"119","Gatundu","-1.0130645","36.9050566"
"120","Gatundu","-1.0130645","36.9050566"
"121","Gatundu","-1.0130645","36.9050566"
"122","Gatundu","-1.0130645","36.9050566"
"123","Gatundu","-1.0130645","36.9050566"
"124","Gatundu","-1.0130645","36.9050566"
"125","Gatundu","-1.0130645","36.9050566"
"126","Gatundu","-1.0130645","36.9050566"
"127","Gatundu","-1.0130645","36.9050566"
"128","Gatundu","-1.0130645","36.9050566"
"129","Gatundu","-1.0130645","36.9050566"
"130","Gatundu","-1.0130645","36.9050566"
"131","Gatundu","-1.0130645","36.9050566"
"132","Gatundu","-1.0130645","36.9050566"
"133","Gatundu","-1.0130645","36.9050566"
"134","Gatundu","-1.0130645","36.9050566"
"135","gatunga market","-0.101202","38.0075815"
"136","Gatunganga","-0.416667","37.05"
"137","Gatunguru","-0.4841061","37.304745"
"138","Gatunyu","-1.0130645","36.9050566"
"139","Gatunyu","-1.0130645","36.9050566"
"140","Gatunyu","-1.0130645","36.9050566"
"141","Gatunyu","-1.0130645","36.9050566"
"142","Gatura","-0.5387694","37.0373502"
"143","Gatura","-0.5387694","37.0373502"
"144","Gatura","-0.5387694","37.0373502"
"145","Gatura","-0.5387694","37.0373502"
"146","Gatura","-0.5387694","37.0373502"
"147","Gatura","-0.5387694","37.0373502"
"148","Gaturuturu","-0.5110399","36.8942356"
"154","Giagatika","-0.4801313","37.0845222"
"155","Giakaibei","-0.4146784","37.1593988"
"156","Giakaibei","-0.4146784","37.1593988"
"157","Giakanja","-0.4582234","36.9490691"
"158","Giakanja","-0.4582234","36.9490691"
"159","Giakanja","-0.4582234","36.9490691"
"160","Giaki","0.029515","37.7673161"
"161","Giaki","0.029515","37.7673161"
"162","Giathenge","-1.3238794","36.8030093"
"165","Gichira","-0.4822554","36.9997683"
"166","Gichugo","-1.2774187","36.7917151"
"167","Gikoe","-1.2701124","36.8477663"
"168","Gikoe","-1.2701124","36.8477663"
"169","Gikondi","-0.5693587","37.0443848"
"170","Gikondi","-0.5693587","37.0443848"
"171","Githabai","-0.7325021","36.5688622"
"172","Githabai","-0.7325021","36.5688622"
"173","Githambo","-0.7066281","36.8714616"
"176","Githara","-1.2064151","36.913794"
"177","Githembe","-1.2972068","36.7500785"
"179","Githiga","-1.0864951","36.7337188"
"180","Githiga","-1.0864951","36.7337188"
"181","Githioro","-0.466667","36.5"
"182","Githongo","-0.0064373","37.5926185"
"183","Githongo","-0.0064373","37.5926185"
"184","Githongo","-0.0064373","37.5926185"
"185","Githongo","-0.0064373","37.5926185"
"186","Githongo","-0.0064373","37.5926185"
"187","Githongo","-0.0064373","37.5926185"
"188","Githongo","-0.0064373","37.5926185"
"189","Githongo","-0.0064373","37.5926185"
"190","Githumu","-0.826537","36.9133919"
"191","Githumu","-0.826537","36.9133919"
"192","Githumu","-0.826537","36.9133919"
"193","Githunguri","-1.0586336","36.7779108"
"194","Githure Market","-1.1850947","36.9031223"
"195","Githure Market","-1.1850947","36.9031223"
"196","Githure Market","-1.1850947","36.9031223"
"200","Gitoro","0.0606501","37.6348686"
"201","Gituamba","-1.2369224","36.913122"
"202","Gitugi","-0.5135181","36.8614161"
"203","Gitugi","-0.5135181","36.8614161"
"204","Gitugi","-0.5135181","36.8614161"
"205","Gitugi","-0.5135181","36.8614161"
"206","Gitugi","-0.5135181","36.8614161"
"207","Gitugi","-0.5135181","36.8614161"
"208","Gitugi","-0.5135181","36.8614161"
"209","Gitugi","-0.5135181","36.8614161"
"210","Gitugu","-0.7067979","36.8546584"
"211","Gitunduti","-1.0130645","36.9050566"
"212","Gonda","0.065344","34.4962952"
"213","Gonda","0.065344","34.4962952"
"214","Gonda","0.065344","34.4962952"
"215","Gumba","-0.4166667","34.1166667"
"220","Heni","-0.7833329","36.55"
"221","Heni","-0.7833329","36.55"
"222","Ichagaki","-0.8100154","37.0881556"
"223","Ichamara","-0.549882","37.0881556"
"224","Ichamara","-0.549882","37.0881556"
"225","Ichamara","-0.549882","37.0881556"
"226","Ichamara","-0.549882","37.0881556"
"227","Icuga","-0.4433003","37.1102929"
"228","Igegania","-0.9747965","36.9281709"
"229","Igegania","-0.9747965","36.9281709"
"230","Igikiro","-0.82","37.18"
"231","Ihururio","-0.4110585","36.8922847"
"232","Ihururu","-0.4110585","36.8922847"
"233","Ihururu","-0.4110585","36.8922847"
"234","Ihururu","-0.4110585","36.8922847"
"235","Ihwagi","-0.4380013","37.1499267"
"236","Ihwagi","-0.4380013","37.1499267"
"237","Ikumbi","-1.2802365","36.7126581"
"239","Ithanga","-0.9333333","37.35"
"240","Ithanga","-0.9333333","37.35"
"241","Ithanga","-0.9333333","37.35"
"242","Ithekahuno","-0.5086736","37.0450655"
"243","Ithekahuno","-0.5086736","37.0450655"
"244","Itundu","-1.0130645","36.9050566"
"245","Itundu","-1.0130645","36.9050566"
"246","Juakali","-1.0491886","37.0953627"
"247","Kaaga","0.0702309","37.6479793"
"248","Kaanwa","-1.183333","36.9166669"
"249","Kabachi","-0.5690539","37.6621976"
"250","Kabare","-0.5043392","37.3063102"
"251","Kabare","-0.5043392","37.3063102"
"252","Kabare","-0.5043392","37.3063102"
"253","Kabati","-0.95","37.1"
"254","Kabati","-0.95","37.1"
"255","Kabati","-0.95","37.1"
"256","Kabati","-0.95","37.1"
"257","Kabati","-0.95","37.1"
"258","Kabati","-0.95","37.1"
"259","Kabati","-0.95","37.1"
"260","Kabati","-0.95","37.1"
"261","Kabati","-0.95","37.1"
"262","Kabazi","-0.0330019","36.199522"
"263","Kabazi","-0.0330019","36.199522"
"264","Kabazi","-0.0330019","36.199522"
"265","Kabazi","-0.0330019","36.199522"
"266","Kabazi","-0.0330019","36.199522"
"267","Kabazi","-0.0330019","36.199522"
"268","Kabazi","-0.0330019","36.199522"
"269","Kabebero","-0.5476558","36.8695164"
"270","Kabel town","0.3092518","36.2288419"
"271","Kabel town","0.3092518","36.2288419"
"272","Kabiruini","-0.41076","37.0775955"
"273","Kabiruini","-0.41076","37.0775955"
"274","Kabonge","-1.3333333","38.05"
"277","Kaburugi","-0.939778","37.0359245"
"278","Kaburugi","-0.939778","37.0359245"
