"","WARD"
"1","AGENG'A NANGUBA"
"2","AIRBASE"
"3","AMUKURA CENTRAL"
"4","ANG'OROM"
"5","ANG'URAI EAST"
"6","ANG'URAI NORTH"
"7","ANG'URAI SOUTH"
"8","ANGATA BARIKOI"
"9","ANGATA NANYOKIE"
"10","BABA DOGO"
"11","BOKOLI"
"12","BOMANI"
"13","BULLA PESA"
"14","BURDER"
"15","BUTALI/CHEGULO"
"16","CALIFORNIA"
"17","CHALA"
"18","CHEMUNDU/KAPNG'ETUNY"
"19","CHENGONI/SAMBURU"
"20","DADAJA BULLA"
"21","DAMAJALE"
"22","DANYERE"
"23","DEDAN KIMANTHI"
"24","DEKAHARIA"
"25","DELLA"
"26","ELNUR/TULA TULA"
"27","ENTONET/LENKISIM"
"28","EWALEL CHAPCHAP"
"29","EWUASO OONKIDONG'I"
"30","GATUANYAGA"
"31","HABASSWEIN"
"32","HADADO/ATHIBOHOL"
"33","HOMA BAY ARUJO"
"34","HOMA BAY CENTRAL"
"35","HOMA BAY EAST"
"36","HOMA BAY WEST"
"37","IGAMBANG'OMBE"
"38","IGEMBE EAST"
"39","JARA JARA"
"40","KABONYO/KANYAGWAL"
"41","KAGUNDU-INI"
"42","KANJUIRI RANGE"
"43","KANZIKO"
"44","KAPUTIEI NORTH"
"45","KASIGAU"
"46","KEYIAN"
"47","KIHUMBU-INI"
"48","KIMINTET"
"49","KIPTUYA"
"50","KIRIITA"
"51","KITHUNGO/KITUNDU"
"52","KITISE/KITHUKI"
"53","KIUU"
"54","KOLOWA"
"55","KORONDILE"
"56","KOTARUK/LOBEI"
"57","KURGUNG/SURUNGAI"
"58","KWA MUTONGA/KITHUMULA"
"59","LABASIGALE"
"60","LAKE ZONE"
"61","LAKOLEY SOUTH/BASIR"
"62","LARI/KIRENGA"
"63","LEMBUS/PERKERRA"
"64","LOKICHOGGIO"
"65","MALAHA/ISONGO/MAKUNGA"
"66","MALKAGUFU"
"67","MANG'U"
"68","MANYATTA 'B'"
"69","MARACHI WEST"
"70","MARENYO - SHIANDA"
"71","MARIGAT"
"72","MATAPATO NORTH"
"73","MATAPATO SOUTH"
"74","MITABONI"
"75","MITUNGUU"
"76","MLANGO KUBWA"
"77","MOIBEN"
"78","MUKAA"
"79","MUKURWE-INI CENTRAL"
"80","MUMBERES/MAJI MAZURI"
"81","MUTARAKWA"
"82","MUTITUNI"
"83","MUVAU/KIKUUMINI"
"84","MUVUTI/KIIMA-KIMWE"
"85","MWIMBI"
"86","NAMBOBOTO NAMBUKU"
"87","NANAAM"
"88","NDALU/ TABANI"
"89","NG'ARARIA"
"90","NJABINI\KIBURU"
"91","NJUKIINI"
"92","NORTH KINANGOP"
"93","NYAYO HIGHRISE"
"94","OL'LESSOS"
"95","OLOOSIRKON/SHOLINKE"
"96","PARKLANDS/HIGHRIDGE"
"97","PONGWE/KIKONENI"
"98","PORRO"
"99","RABAI/KISURUTINI"
"100","RACECOURSE"
"101","RONG'E"
"102","RUIRI/RWARERA"
"103","RUMA-KAKSINGIRI EAST"
"104","RUSINGA ISLAND"
"105","SAIMO/SOI"
"106","SANGALO/KEBULONIK"
"107","SHAURIMOYO KALOLENI"
"108","SHELLA"
"109","SILIBWET TOWNSHIP"
"110","SITIKHO"
"111","SOYSAMBU/ MITUA"
"112","SYOKIMAU/MULOLONGO"
"113","TEZO"
"114","TINDIRET"
"115","TING'ANG'A"
"116","TONGAREN"
"117","UPPER SAVANNAH"
"118","WAIA/KAKO"
"119","WANGCHIENG"
"120","WEIWEI"
"121","WOODLEY/KENYATTA GOLF COURSE"
"122","YIMBO WEST"
"123","ZOMBE/MWITIKA"
