"","WARD"
"1","ABOTHUGUCHI WEST"
"2","ADEMASAJIDA"
"3","AGENGA/NANGUBA"
"4","AGUTHI GAAKI"
"5","AIRBASES"
"6","AMAKURA CENTRAL"
"7","ANGATA BARRIKOI"
"8","ANGATA NANYUKIE"
"9","ANGOROM"
"10","ANGURAI EAST"
"11","ANGURAI NORTH"
"12","ANGURAI SOUTH"
"13","BABADOGO"
"14","BANANEY"
"15","BARWAQO"
"16","BOKOILI"
"17","BOMENI"
"18","BUKUMBA"
"19","BULABESA"
"20","BUNA"
"21","BURDERE"
"22","BUTALI /CHEGULO"
"23","CALIFONIA"
"24","CENTRAL RACHUONYO"
"25","CHALLA"
"26","CHEMUNDU/KAPNG'ETUNYI"
"27","CHENGOVI /SAMBURU"
"28","CHERANGANY"
"29","DADAJABULLA"
"30","DAMAJALEY"
"31","DANYERERE"
"32","DEKAHARJA"
"33","DELA"
"34","DIDAN KIMATHI"
"35","ELSANGALO"
"36","ELWAK"
"37","EMBOBUT"
"38","ENTONET /LENKISM"
"39","ENUR"
"40","EWALEL/CHAPCHAP"
"41","EWUASO OOKIDONGI"
"42","GATITU /MURUGURU"
"43","GATONGORA"
"44","GATUANYALA"
"45","GEM CENTRAL"
"46","HABASWEIN"
"47","HADADO"
"48","HIRIMANI"
"49","HOMA-BAY ARUJO"
"50","HOMA-BAY EAST"
"51","HOMA-BAY WEST"
"52","HOMABAY CENTRAL"
"53","IGAMBANGOMBE"
"54","IGEMBE"
"55","JARJARA"
"56","KAALENG/KAIKOR"
"57","KABONYO /KANYAGWAL"
"58","KAGUNDU -INI"
"59","KAHAWA WENDANI"
"60","KAINUK"
"61","KAMOTHAI"
"62","KANG'ATOTHA"
"63","KANGARU SOUTH"
"64","KANJUIRI"
"65","KANZIKU/SIMISI"
"66","KAPUTIET"
"67","KARU"
"68","KASIGHAU"
"69","KEIYAN"
"70","KELELESHWA"
"71","KENDU BAY"
"72","KHOROF HARAR"
"73","KIAMBU TOWNSHIP"
"74","KIBANI"
"75","KIHUMBUINI"
"76","KIIMAKIO KALANZONI"
"77","KIIRUA /NAAARI"
"78","KIKIMBULYU SOUTH"
"79","KIMINDET"
"80","KINGANJO"
"81","KIPTUIYA"
"82","KIRITI"
"83","KISAU/KITETA"
"84","KISEMENI"
"85","KISHUSHE /WUMINGU"
"86","KITHUNGO KITUNDU"
"87","KITISEI/KITHUKI"
"88","KITUI TOWNSHIP"
"89","KIUU/GITHURAI"
"90","KOLOWA/LOWIAT"
"91","KORONDILLE"
"92","KOTAPUK /LOBEI"
"93","KUKUMBULYU NORTH"
"94","KURGUNGI/SURUNGAI"
"95","KURUONGI/SORONGAI"
"96","KWAMUTONGA/KITHUMULA"
"97","LABSIGALE"
"98","LAKEZONE"
"99","LARI /KIRENGO"
"100","LEKOLE SOUTH/BASIR"
"101","LEMBUS PERKERRA"
"102","LOKICHOGIO"
"103","LOKKORI/KOCHODIN"
"104","LOKORI"
"105","LORENGIPPI/LOKIRIAMA"
"106","LOWER KAEWA"
"107","LUNGA LUNGA"
"108","LWANDANYI"
"109","MACKINON"
"110","MACKINON ROAD"
"111","MALAHA /ISONGO"
"112","MALAHA/ISINGO"
"113","MALAKISI"
"114","MALINDI"
"115","MALKA GHUF"
"116","MANGU"
"117","MANYATTA B"
"118","MARABA"
"119","MARACH WEST"
"120","MARENYO/SHIANDA"
"121","MARIGAT/EWALEL/KIMONDIS"
"122","MATAPA NORTH"
"123","MATAPA SOUTH"
"124","MAVUMBO"
"125","MBALE/WUNDANYI"
"126","MERTI"
"127","MGHANGE/MWANDA"
"128","MITAMBONI"
"129","MITUUNGU"
"130","MLANGO"
"131","MOIBEN KUSERWO"
"132","MOKOWE"
"133","MUHORONI /KORU"
"134","MUKAA/KAITANGO"
"135","MUKURWEINI CENTRAL"
"136","MUMBERES/MAJIMAZURI"
"137","MUTARAKWO"
"138","MUTITUNI /NGELANI"
"139","MUTU-INI"
"140","MUVAU KIUKUMINI"
"141","MUVUTI/KIIMA KIMWE"
"142","MWALA /MAKUTANO"
"143","MWALA/MAKUTANO"
"144","MWINGI CENTRAL"
"145","NAMBOBOTO/NAMBUKU"
"146","NANAM"
