Town ,Latitude,Longitude
Alale,2.2771751,35.0052202
Amalemba,0.2635368,34.7560269
Asembo,-0.18,34.38
Awasi,-0.1616445,35.0732265
Awendo,-0.9017152,34.5334534
Awendo,-0.9017152,34.5334534
Awendo,-0.9017152,34.5334534
Nairobi,-1.2920659,36.8219462
Nairobi,-1.2920659,36.8219462
Marsabit,2.333333,37.983333
Marsabit,2.333333,37.983333
Nairobi,-1.2920659,36.8219462
Bamba,-3.5423087,39.5226547
Bamburi,-4,39.716667
Bamburi,-4,39.716667
Bamburi,-4,39.716667
Kiambu,-1.1748105,36.8304102
Baragoi,1.783333,36.783333
Baragoi,1.783333,36.783333
Nairobi,-1.2920659,36.8219462
Nairobi,-1.2920659,36.8219462
Bamburi,-4,39.716667
Baraton,0.2578208,35.0865566
Nairobi,-1.2920659,36.8219462
Baricho,-3.1,39.783333
Birongo,-0.7490028,34.8885163
Bissil,-2.1,36.78
Bissil,-2.1,36.78
Bissil,-2.1,36.78
Nairobi,-1.2920659,36.8219462
Bondo,-0.1003371,34.2754988
Bungoma,0.5695252,34.5583766
Buguta,-3.6833333,38.6666667
Bukuga,0.220292,34.6155676
Bukuga,0.220292,34.6155676
Bumala,0.3,34.2
Bumala,0.3,34.2
Buna,2.788611,39.514722
Bungoma,0.5695252,34.5583766
Bungoma,0.5695252,34.5583766
Bungoma,0.5695252,34.5583766
Bura,-1.5,40.033333
Bura,-1.5,40.033333
Bura,-1.5,40.033333
Nairobi,-1.2920659,36.8219462
Burnt Forest,0.2153963,35.4316201
Nairobi,-1.2920659,36.8219462
Busia,0.4607691,34.1114621
Busia,0.4607691,34.1114621
Bute,2.0005345,39.7575272
Butere,0.216667,34.5
Nairobi,-1.2920659,36.8219462
Nairobi,-1.2920659,36.8219462
Nairobi,-1.2920659,36.8219462
Chaani,-4.0342822,39.6260058
Chaka,-1.290488,36.7904508
Chamasiri,0.7350714,34.3937463
Changamwe,-4.026111,39.630556
Chavakali,0.1166116,34.731949
Chavakali,0.1166116,34.731949
Chavakali,0.1166116,34.731949
Chebole,-0.7467126,35.2151687
Chebunto,-0.9683335,35.1890844
Chemaner,-0.78,35.5
Chemuswo,-0.1605515,35.0718892
Chepareria,1.3081095,35.2066038
Eldoret,0.516667,35.283333
Chepkumia,0.1056648,34.9660159
Chepseon,-0.2260131,35.5505902
Chepseon,-0.2260131,35.5505902
Cheptil,0.4826739,35.1289666
Cheptiret,0.3571079,35.3555402
Cheptiret,0.3571079,35.3555402
Cheptulu,0.1274715,34.861037
Cheptulu,0.1274715,34.861037
Cheptulu,0.1274715,34.861037
Chera,-0.3750881,37.6727331
Nairobi,-1.2920659,36.8219462
Chogoria,-0.2279535,37.6306782
Chonyi,-4.0560793,39.6586385
Chwele,0.7358836,34.5777565
Chwele,0.7358836,34.5777565
Nairobi,-1.2920659,36.8219462
Nairobi,-1.2920659,36.8219462
Nairobi,-1.2920659,36.8219462
Dandora,-1.25,36.9
Nairobi,-1.2920659,36.8219462
Nairobi,-1.2920659,36.8219462
Mombasa,-4.0434771,39.6682065
Dudi,0.110385,34.4948913
Dudi,0.110385,34.4948913
Nairobi,-1.2920659,36.8219462
Nairobi,-1.2920659,36.8219462
Nairobi,-1.2920659,36.8219462
Nairobi,-1.2920659,36.8219462
Eastleigh,-1.266667,36.85
Eastleigh,-1.266667,36.85
Eastleigh,-1.266667,36.85
Eastleigh,-1.266667,36.85
Eastleigh,-1.266667,36.85
Eastleigh,-1.266667,36.85
Eastleigh,-1.266667,36.85
Emuhaya,0.0352006,34.6187371
Ebunangwe,0.0909832,34.6569613
Ebusiratsi,0.0780737,34.6349788
Njoro,-0.331626,35.944938
Njoro,-0.331626,35.944938
Nairobi,-1.2920659,36.8219462
Nairobi,-1.2920659,36.8219462
Njoro,-0.331626,35.944938
Eldama Ravine,0.05,35.716667
Eldama Ravine,0.05,35.716667
Eldoret,0.516667,35.283333
Eldoret,0.516667,35.283333
Eldoret,0.516667,35.283333
Eldoret,0.516667,35.283333
Eldoret,0.516667,35.283333
Eldoret,0.516667,35.283333
Eldoret,0.516667,35.283333
Embakasi,-1.3,36.916667
Embakasi,-1.3,36.916667
Embu,-0.5388381,37.4596409
Rongai,-0.166667,35.85
Endau,-1.3152567,38.5217772
Kajiado,-1.8420731,36.7918599
Enoosaen,-1.0203817,34.7334212
Eregi,0.1584886,34.7202041
Funyula,0.279642,34.1177232
Gacharageini,-0.7519066,36.8791743
Gakurwe,-0.6333333,37.0166667
Ganjoni,-4.0642596,39.6611702
Ganze,-3.5438653,39.6924877
Garissa,-0.4532293,39.6460988
Garissa,-0.4532293,39.6460988
Garissa,-0.4532293,39.6460988
Garissa,-0.4532293,39.6460988
Garissa,-0.4532293,39.6460988
Garsen,-2.268333,40.110833
Gategi,-0.7500702,37.4234424
Gategi,-0.7500702,37.4234424
Gathaithi,-1.0964686,36.766558
Gathaithi,-1.0964686,36.766558
Gatonye,0.009141,37.076245
Gatukuyu,-0.9850648,36.9667423
Gatukuyu,-0.9850648,36.9667423
Gatundu,-1.0130645,36.9050566
Gatuya,-0.531458,37.208832
Gede,-3.4597683,39.2972708
Gesima,-0.0957115,34.7671674
Gikoe,-0.6391545,36.9351044
Nairobi,-1.2920659,36.8219462
Nairobi,-1.2920659,36.8219462
Nairobi,-1.2920659,36.8219462
Nairobi,-1.2920659,36.8219462
Gilgil,-0.4922735,36.3172993
Gilgil,-0.4922735,36.3172993
Gilgil,-0.4922735,36.3172993
Kangema,-0.68461,36.9635102
Githiga,-1.0864951,36.7337188
Githiga,-1.0864951,36.7337188
Githunguri,-1.0586336,36.7779108
Githurai,-1.2064151,36.913794
Gitugi,-0.5135181,36.8614161
Gitugi,-0.5135181,36.8614161
Gongoni,-3.03399,40.14069
Griftu,2.0060326,39.750917
Griftu,2.0060326,39.750917
Makadara,-4.0605972,39.6763267
South Kinangop,-0.719112,36.650181
Nairobi,-1.2920659,36.8219462
Himaki,0.1940319,35.2200607
Hindi,-2.1767894,40.8146311
Hola,-1.5,40.033333
Hola,-1.5,40.033333
Homa Bay,-0.5350427,34.4530968
Hurlingham,-1.2925291,36.7989487
Nairobi,-1.2920659,36.8219462
Ichichi,-0.7,36.85
Igoji,-0.1813733,37.6759087
Ikerege,-1.1951781,34.5562868
Ikinu,-1.0964686,36.766558
Ikonge,-0.5322956,35.0291791
Ikonge,-0.5322956,35.0291791
Chuka,-1.0387569,37.0833753
Ilbissil,-2.0896658,36.7949724
Imara daima,-1.3216812,36.862699
Isibania,-1.2448469,34.4766572
Isibania,-1.2448469,34.4766572
Isinya,-1.6727148,36.8425202
Isinya,-1.6727148,36.8425202
Isiolo,0.355636,37.5833061
Isiolo,0.355636,37.5833061
Isiolo,0.355636,37.5833061
Nairobi,-1.2920659,36.8219462
Nairobi,-1.2920659,36.8219462
Nairobi,-1.2920659,36.8219462
Nairobi,-1.2920659,36.8219462
Nairobi,-1.2920659,36.8219462
Juja,-1.1025542,37.0131926
Juja,-1.1025542,37.0131926
Garissa,-0.4532293,39.6460988
Kabartonjo,0.633333,35.8
Kabartonjo,0.633333,35.8
Kabati,-0.95,37.1
Kabati,-0.95,37.1
Kabati,-0.95,37.1
Kabuku,-1.1833333,37.9333333
Kacheliba,1.2901836,35.0797319
Kachibora,-0.59,35.1
Kadenge,-4.054825,39.669582
Kaganda,-0.7521985,36.9523752
Kagere,-0.5072742,36.9407344
Kagio,-0.62515,37.2530686
Kagio,-0.62515,37.2530686
Kagio,-0.62515,37.2530686
Kagio,-0.62515,37.2530686
Kagumo,-0.4765097,37.2363434
Kagumo,-0.4765097,37.2363434
Kagundo,-1.3055671,37.3453215
Kagundu-ini,-0.3363889,38.0811111
Kagwe ,-1.189169,36.7839653
Kagwe ,-1.189169,36.7839653
Kagwe ,-1.189169,36.7839653
Kagwe ,-1.189169,36.7839653
Kahawa,-1.183333,36.9166669
Kahawa,-1.183333,36.9166669
Kahawa,-1.183333,36.9166669
Kahuro,-0.7504446,36.991209
Kahuti,0.7,36.97
Kainuk,1.7765218,35.5028379
Kajiado,-1.8420731,36.7918599
Kajiado,-1.8420731,36.7918599
Kajuki,-0.3455883,37.844975
Kakuma,3.7067943,34.8665552
Kakuma,3.7067943,34.8665552
Kakuma,3.7067943,34.8665552
Kakumati,3.7067943,34.8665552
Kakunga,3.7067943,34.8665552
Kalamba,-1.8792614,37.524138
Kalicha,3.1325197,37.4201057
Kalokol,3.5341467,35.8593486
Kaluluini,-3.8148404,39.6285874
Kamacharia,-0.6019203,36.9907055
Kamae,-0.85,36.633333
Kamahuha,-0.8445728,37.1786999
Kambaa,-1.3265546,36.8915704
Kambaa,-1.3265546,36.8915704
Rongai,-0.166667,35.85
Kambiti,0.0885021,37.6884484
Kiambu,-1.1748105,36.8304102
Kamukunji,-1.2847801,36.8337743
Kamukunji,-1.2847801,36.8337743
Kamukunji,-1.2847801,36.8337743
Nanyuki,0.016667,37.066667
Kamwangi,-0.9588184,36.899007
Kamwangi,-0.9588184,36.899007
Kamwangi,-0.9588184,36.899007
 KANAMAI MAJENGO,-3.9166218,39.7587959
 KANDONGU,-0.4333333,38.2333333
 KANGEMI,-1.269275,36.7442377
 KANGETA,0.285697,37.880562
Kangundo,-1.3055671,37.3453215
 KANJA,-0.3902947,37.5440459
 KANJUIRI,-0.3603041,36.2795269
 KANYANGI,-0.4931985,37.7501178
 KANYARIRI,-0.5853712,37.5607794
 KANYONI,-0.582313,37.1458212
 KAPCHEROP,1.0156135,35.2709091
 KAPKOI,0.6532927,35.4997681
 KAPKOROS,0.0583447,35.2440924
 KAPLONG,-0.6793505,35.1401137
 KAPSANGAR,1.1781074,35.3780765
 KAPSERET,0.3895592,35.2086646
 KAPSOIT,-0.3206518,35.2189682
 KAPSOWAR,0.948567,35.5084609
 KAPTUMO,0.075974,35.0592309
 KAPTUMO,0.075974,35.0592309
 KARABA,-0.7700832,37.3680322
karagita,-0.7785265,36.4418472
karama,0.2369488,37.8351534
Nairobi,-1.2920659,36.8219462
Karatina,-0.483158,37.1273549
Karatina,-0.483158,37.1273549
Karatina,-0.483158,37.1273549
Karatina,-0.483158,37.1273549
 KARATU,-0.9455109,36.8251848
 KAREN,-1.3117524,36.6985978
 KAREN,-1.3117524,36.6985978
Karen,-1.3117524,36.6985978
Kariobangi,-1.240591,36.88044
Kariobangi,-1.240591,36.88044
Kariobangi,-1.240591,36.88044
Karura,-0.7728954,37.8951607
Karuri,-0.7134403,37.0373502
Karurumo,-0.466667,37.65
Karuti,-0.8355278,36.3527513
Kasarani,-1.2278411,36.9057288
Kasauni,-4.0226198,39.6879333
Kasigau,-3.8263889,38.6625
Kasuku,-0.1335554,36.3795987
Kagio,-0.62515,37.2530686
 KATHAMA,0.170599,37.7508259
 KATHARAKA,-0.2468741,37.6414896
 KATHELWA,0.311596,37.9045808
Katheri,0.0152438,37.5940732
 KATHOZWENI,-1.9131016,37.7317411
 KAYOLE,-1.2761617,36.913794
 KAYOLE,-1.2761617,36.913794
 KAYOLE,-1.2761617,36.913794
 KAYOLE,-1.2761617,36.913794
 KAYOLE,-1.2761617,36.913794
 KAYOLE,-1.2761617,36.913794
 KAYOLE,-1.2761617,36.913794
 KAYOLE,-1.2761617,36.913794
 KAYOLE,-1.2761617,36.913794
 KAYOLE,-1.2761617,36.913794
 KEBIRIGO,-0.6027575,34.9603088
 KEGONGA,-1.2586112,34.6518928
 KEHANCHA,-1.1939843,34.6165033
 KEMBU,-1.1748105,36.8304102
Kericho,-0.366667,35.3
Keringet,-0.4260762,35.6901698
Keringet,-0.4260762,35.6901698
Keringet,-0.4260762,35.6901698
Keringet,-0.4260762,35.6901698
Keroka,-0.7771138,34.9458389
Kesogon,1.164846,35.1133561
Mukumu,0.2133061,34.765793
 KIAMAKOMA,-0.8,34.85
 KIAMARA,-0.1016667,37.8955556
Kiamariga,-0.3833333,37.2333333
Kiamariga,-0.3833333,37.2333333
Kiambogo,-0.2372222,36.6891667
Kiambu,-1.1748105,36.8304102
 KIAMBUTHIA,-0.618838,36.9113696
 KIAMWANGI,-1.024218,36.8720216
 KIAMWANGI,-1.024218,36.8720216
 KIAMWANGI,-1.024218,36.8720216
Kianjogu,-1.1798235,36.7247003
Nakuru,-0.3030988,36.080026
 KIANYAGA,-0.4951,37.3479937
 KIANYAGA,-0.4951,37.3479937
 KIANYAGA,-0.4951,37.3479937
 KIBINGOTI,-0.5716649,37.1889062
 KIBIRICHIA,0.0936509,37.5109757
 KIBIRIGWI,-0.5268899,37.1801181
Kiboi,0.4717926,35.7548332
Kibukwo,-2.2102833,37.7231033
kagio,-0.62515,37.2530686
Kiembeni,-3.9909027,39.6994953
Kiengu,-1.7454601,41.4887787
Igoji,-0.1813733,37.6759087
 KIGANJO,-0.3934893,37.0024533
 KIGANJO,-0.3934893,37.0024533
Othaya,-0.5517507,36.9447027
Kigumo,-0.4173028,37.6373316
Kigumo,-0.4173028,37.6373316
Kigumo,-0.4173028,37.6373316
Kijabe,-0.945,36.595
 KIKIMA,-1.6666667,37.45
 KIKUYU,-1.2543366,36.681661
 KIKUYU,-1.2543366,36.681661
 KIKUYU,-1.2543366,36.681661
 KILIMAMBOGO,-1.0620711,37.2386852
 KILIMAMBOGO,-1.0620711,37.2386852
 KILIMAMBOGO,-1.0620711,37.2386852
 KILIMAMBOGO,-1.0620711,37.2386852
Nairobi,-1.2920659,36.8219462
Kima,-1.95,37.25
 KIMANDI,-1.0833333,35.3833333
 KIMBIMBI,-0.6204365,37.3653607
 KIMILILI,0.783333,34.716667
 KIMILILI,0.783333,34.716667
 KIMININI,0.8935153,34.9258526
 KIMININI,0.8935153,34.9258526
 KIMININI,0.8935153,34.9258526
Kimondi,0.2733151,35.0497035
Kimulot,-0.5354095,35.2563935
Kimunye,-0.4341792,37.3092367
Kimunyu,-1.0552072,36.9453585
Kinamba,0.4131607,36.3213639
Kinamba,0.4131607,36.3213639
Kinyona,-0.7480019,36.820919
Kirere,-0.8097346,37.0072062
Kirere,-0.8097346,37.0072062
Kiritiri,-0.6859545,37.6479757
Kiruri,-0.7134403,37.0373502
Kisanju,-1.6318149,36.7472689
Kisasi,-1.5036722,38.0300772
Kisauni,-4.0226198,39.6879333
Kiserian,-1.4251869,36.6936512
Kiserian,-1.4251869,36.6936512
Kiserian,-1.4251869,36.6936512
Kisima,0.936306,36.7765641
Kisumu,-0.0917016,34.7679568
Kitengela,-1.4752891,36.9620104
Kithimani,-1.1840152,37.4461281
Kithimu,-0.5085318,37.5194731
Kithyoko,-1.0480513,37.8412813
Kithyoko,-1.0480513,37.8412813
Kithyoko,-1.0480513,37.8412813
Kitulani,-1.3523086,37.4529183
Kivani,-1.4212959,37.3704466
Kivwe,-0.4519959,37.5156123
Matuu,-1.1407002,37.5481236
 KOBUJOY,0.1056648,34.9660159
 KOBUJOY,0.1056648,34.9660159
 KOIMBI,-0.7084333,36.9873486
 KOLA,-1.7045071,37.3493298
 KONGOWEA,-4.0406097,39.6905123
 KONGOWEA,-4.0406097,39.6905123
Kora,-0.1047222,38.7583333
Koru,-0.183333,35.266667
Kikuyu,-1.2543366,36.681661
 KURESOI,-0.2992992,35.5302127
 KURESOI,-0.2992992,35.5302127
 KUTULO,2.4078074,40.5969715
 KUTUS,-0.5735225,37.3252767
 KUTUS,-0.5735225,37.3252767
 KUTUS,-0.5735225,37.3252767
Kimende,-0.9814453,36.6323335
Nairobi,-1.2920659,36.8219462
Murarandia,-0.7324939,36.9268383
Kwale,-4.166667,39.45
Kwale,-4.166667,39.45
 KYANGOMBE,-1.5,37.3333333
 KYUMBI,-1.5333333,37.1166667
 KYUSO,-0.5488252,38.219794
Voi,-3.3973104,38.5559336
Langa Langa,-0.3077311,36.0716729
Langa Langa,-0.3077311,36.0716729
Langata,-1.366667,36.733333
Langata,-1.366667,36.733333
langata,-1.366667,36.733333
Lavington,-1.2745231,36.7792574
Laza,-1.4993,40.019001
Lela,-0.0290108,34.6057615
 LESSOS,1.0443348,34.9892412
 LIKONI,-4.0929017,39.6614446
 LITEIN,-0.582624,35.1901151
 LITEIN,-0.582624,35.1901151
 LODWAR,3.116667,35.6
 LOIYANGALANI,2.7603913,36.7199836
 LOIYANGALANI,2.7603913,36.7199836
 LOIYANGALANI,2.7603913,36.7199836
 LOKORI,1.9521315,36.0322459
 LOLGORIAN,-1.2848861,34.9270588
 LONDIANI ,-0.166667,35.6
Loosuk,1.0530031,36.6557768
Loresho,-1.2537334,36.7442377
Luanda,0.0240007,34.5874448
Luanda,0.0240007,34.5874448
Nairobi,-1.2920659,36.8219462
 LUKORE,-4.3536859,39.3148649
 LUNGA LUNGA,-4.55,39.12
 LUNGA LUNGA,-4.55,39.12
 LURAMBI,0.3107576,34.751808
Nairobi,-1.2920659,36.8219462
Lwak,-0.1408126,34.356017
 LWAKHAKHA,0.8569758,34.4357336
 MAAI MAHIU,-0.7190438,36.4342515
 MACALDER,-0.9546935,34.2856961
 MADIRA,0.0621414,34.6743965
 MADOGO,-0.4725528,39.6027669
Nairobi,-1.2920659,36.8219462
 MAGADI,-1.8996701,36.301039
 MAGADINI,-1.8996701,36.301039
 MAGONGA,-1.4052778,38.3527778
 MAGONGO,-1.4052778,38.3527778
 MAGUMONI,-0.3687958,37.6216131
 MAGUNGA,-0.6893437,34.1518039
 MAGUTUNI,-0.21755,37.733631
 MAGWAGWA,-0.470887,35.0217782
