"","WARD"
"1","ABAKAILE"
"6","ABOGETA EAST"
"17","ABOGETA WEST"
"29","ABOTHUGUCHI CENTRAL"
"45","ADU"
"78","AHERO"
"100","ALALE"
"121","AMUKURA EAST"
"144","AMUKURA WEST"
"153","ARABIA"
"178","ARBAJAHAN"
"192","ARROR"
"210","ASHABITO"
"213","ATHI RIVER"
"224","AWASI/ONJIKO"
"230","BAAWA"
"238","BAHARI"
"250","BALAMBALA"
"259","BAMBA"
"302","BANGALE"
"306","BARAGWI"
"329","BARAKI"
"336","BARTABWA"
"357","BARWESSA"
"397","BASUBA"
"402","BATEI"
"428","BENANE"
"462","BIASHARA"
"495","BIBIRIONI"
"508","BUKEMBE EAST"
"523","BUKEMBE WEST"
"541","BUKHAYO CENTRAL"
"554","BUKHAYO EAST"
"574","BUKHAYO NORTH/WALATSI"
"593","BUKHAYO WEST"
"604","BUMULA"
"631","BUNYALA CENTRAL"
"697","BUNYALA EAST"
"710","BUNYALA NORTH"
"725","BUNYALA SOUTH"
"736","BUNYALA WEST"
"758","BURA"
"960","BURAT"
"966","BURUMBA"
"970","BUSIBWABO"
"981","BUTE"
"987","BUTSOTSO CENTRAL"
"1037","BUTSOTSO EAST"
"1046","BUTSOTSO SOUTH"
"1178","BWIRI"
"1193","CENTRAL"
"1589","CENTRAL BUNYORE"
"1610","CENTRAL KASIPUL"
"1631","CENTRAL KISUMU"
"1638","CENTRAL NYAKACH"
"1657","CENTRAL SAKWA"
"1713","CENTRAL SEME"
"1726","CHAKOL NORTH"
"1739","CHAKOL SOUTH"
"1763","CHANIA"
"1874","CHARAGITA"
"1902","CHASIMBA"
"1918","CHAWIA"
"1954","CHEBOIN"
"1963","CHEBUNYO"
"2102","CHEKALINI"
"2134","CHEMAGEL"
"2297","CHEMELIL"
"2312","CHEMELIL/CHEMASE"
"2332","CHEMUCHE"
"2353","CHEPARERIA"
"2378","CHEPKORIO"
"2421","CHEPKUMIA"
"2442","CHEPKUNYUK"
"2475","CHEPTAIS"
"2483","CHEPTERWAI"
"2505","CHEPYUK"
"2534","CHERANGANY/SUWERWA"
"2550","CHESIKAKI"
"2573","CHESOEN"
"2576","CHEVAYWA"
"2733","CHEWANI"
"2743","CHEWELE"
"2759","CHULUNI"
"2770","CHURO/AMAYA"
"2793","CIANDA"
"2802","DABASO"
"2809","DADAAB"
"2813","DALALEKUTUK"
"2839","DANABA"
"2852","DANDORA AREA I"
"2853","DANDORA AREA II"
"2855","DANDORA AREA III"
"2856","DANDORA AREA IV"
"2857","DERTU"
"2860","DIIF"
"2865","DZOMBO"
"2889","EAST GEM"
"2931","EAST KABRAS"
"2948","EAST KAMAGAK"
"2953","EAST KANO/WAWIDHI"
"2975","EAST SEME"
"2999","EAST WANGA"
"3018","EASTLEIGH NORTH"
"3019","EASTLEIGH SOUTH"
"3020","EKALAKALA"
"3060","EL-BARTA"
"3071","ELBEN"
"3079","ELDAS"
"3082","ELGON"
"3116","ELUGULU"
"3130","ELWAK NORTH"
"3135","ELWAK SOUTH"
"3143","EMALI/MULALA"
"3183","EMBAKASI"
"3188","EMBOMOS"
"3348","EMINING"
