region,town,country,town_country,business name,physical address,phone number
central,Thika,",Kenya","Thika, Kenya","M-KOPA,Thika-Rancky Enterprises","Thika Town, Kenyatta Highway/Mama Ngina Drive Junction.",0702 163 614
central,Muranga,",Kenya","Muranga, Kenya","M-KOPA, Muranga Divine Leather Craft",Kenyatta Avenue near round about opposite Queens Hotel.,0720 880 911
central,Maua,",Kenya","Maua, Kenya","M-KOPA,Maua Ajab Warehouse","Maua Town, Kaciongo area next to Kensilver booking office.",0710 919 189
central,Meru,",Kenya","Meru, Kenya","M-KOPA, Rimbere enterprises",Meru Main Stage along Njuri Ncheke Street.,0708 086 618
central,Nanyuki,",Kenya","Nanyuki, Kenya","M-KOPA, Nyanyuki - ngarengiro cereals","Opposite Doldol stage, Ngarengiro cereal building.",0708 086 583
central,Chuka,",Kenya","Chuka, Kenya","M-KOPA, Eastend chemist- chogoria",Eastend chemist opposite Chogoria boys.,0708 086 492
central,Githubai,",Kenya","Githubai, Kenya",Cybercom Cafe-Njabini,Kaa na Watu Building,0718 093 653
central,Juja,",Kenya","Juja, Kenya",Kelda Enterprise,"Along Juja - Gatundu Road, Next to Happy Supermarket",0721 301 895
central,Karatina,",Kenya","Karatina, Kenya",DM Enterprices,"Next Rahisi Hardware, Opposite Uchumi Supermarket",0719 763 333
central,Kagio,",Kenya","Kagio, Kenya",Resolution Electronics,"Kagio Market, Kagio - Baricho Road",0722 424 710
central,Kenol,",Kenya","Kenol, Kenya",Blessed Shiroh Enterprises,"Beta Petrol Station, Mizph Biashara Centre Building",0725 484 287
central,Kianjai,",Kenya","Kianjai, Kenya",Msamaria Mwema,"At the Maua Stage,Near Kijunge Petrol Station",0723 875 768
central,Katama,",Kenya","Katama, Kenya",Mungaria Distributors,Along Maua Road,0721 311 777
central,Kiganjo,",Kenya","Kiganjo, Kenya",Amazing Grace,"Chaka Shopping Centre, Opposite Railway Line",0714 341 583
central,Kikuyu,",Kenya","Kikuyu, Kenya",Cyber Com Cafe,"Faith House,Next To Msafiri Flats,Behind New Muguku Plaza",0711 904 106
central,Kikuyu,",Kenya","Kikuyu, Kenya",Bell Kenya Kikuyu,Next to Postbank,0707 621 881
central,Limuru,",Kenya","Limuru, Kenya",Bell Kenya Limuru,"At Ushirika Plaza,Ground Floor,Near Limuru Bata",0722 977 775
central,Mutuati,",Kenya","Mutuati, Kenya",Kwa Kithure Shop,Along Meru- Maua-Laare road,0723 995 009
central,Mikinduri,",Kenya","Mikinduri, Kenya",Real Mali,Next to Kaliene Secondary School,0723 173 434
central,Muranga,",Kenya","Muranga, Kenya",Mych Enterprises,"Kagema Shopping Centre, Near Catholic Church",0726 855 730
central,Mwea,",Kenya","Mwea, Kenya",Jnoz Infortech,Mwea Main Stage Entrance,0727 328 801
central,Nanyuki,",Kenya","Nanyuki, Kenya",Safaricom Retail Centre,Nakumatt Mall,0720 170 115
central,Nanyuki,",Kenya","Nanyuki, Kenya",Dayun Centre,"Off Lumumba Road,Inside Makaru House",0724 366 520
central,Ndunyu Njeru,",Kenya","Ndunyu Njeru, Kenya",Copymax Printers and Stationeries Ltd,Next to Muki Sacco Ltd,0723 518 132
central,Nyahururu,",Kenya","Nyahururu, Kenya",Kinamba Evans Enterprises,"Along Nyahururu - Ndindika Road, Kinamba Center Near Kinamba Petrol Station",0722 870 349
central,Nyeri,",Kenya","Nyeri, Kenya",Blessed Connections,At Nakuru - Nyahururu Main Stage,0722 766 732
central,Nyeri,",Kenya","Nyeri, Kenya",Best Electronics,"Next To Equity Bank, Kimathi Way",0729 784 841
central,Nyeri,",Kenya","Nyeri, Kenya",Ivy Enterprices,"Next To Kemu University, Rware Building",0722 495 907
central,Thika,",Kenya","Thika, Kenya",Ranky Autospares,"In Brilliant Bar Building, Near Mathai Supermarket",0722 778 588
central,Kipawa Centre,",Kenya","Kipawa Centre, Kenya",Vanka General Shop,Along Kangundo Road,0723 490 555
central,Thika,",Kenya","Thika, Kenya",Cherengani Stores,"Makongeni Phase Five,Madaraka Market",0722 807 294
central,Thika,",Kenya","Thika, Kenya",Orchads Communications,Next To Safaricom Retail Centre,0724 985 030
central,Thika,",Kenya","Thika, Kenya",quiznas Hair and Beauty Parlour,"Kenyatta Highway,Next to Kenol Petrol Station",0722 357 495
central,Thika,",Kenya","Thika, Kenya",Safaricom Retail Centre,"Haria Building, Along Nkrumah Street",0710 658 204
central,Thika,",Kenya","Thika, Kenya",Catem General Merchants,"Kenyatta Highway,Wanyua Market",0721 684 025
coast,Mtwapa,",Kenya","Mtwapa, Kenya","M-KOPA, Mtwapa Communication Center",Opposite hakim hardware mtwapa.,0724 021 981
coast,Malindi,",Kenya","Malindi, Kenya","M-KOPA,Malindi Saftel","Malindi town, opposite Habib Bank",0710 919 685
coast,Mombasa,",Kenya","Mombasa, Kenya","M-KOPA ,Kilifi Acacia Insurance",Acacia Insurance next to Kitecoh complex,0708 086 597
coast,Bamba,",Kenya","Bamba, Kenya",Mashallah Investment,"Along Mariakana - Kilifi Road, Bamba Market, Near Techno Shop",0721 227 686
coast,Chumani,",Kenya","Chumani, Kenya",Ubwete Traders,Along Kilifi - Malindi Road,0713 112 138
coast,Diani,",Kenya","Diani, Kenya",Safaricom Retail Centre,"Nakumatt Building, Diani Street",0717 599 079
coast,Digo,",Kenya","Digo, Kenya",Safaricom Retail Centre,"Opposite Post Office, Digo Road",0715 439 721
coast,Garsen,",Kenya","Garsen, Kenya",Abae Grain Millers & Supplies,Next To Garsen Post Office,0729 921 334
coast,Hindi Market,",Kenya","Hindi Market, Kenya",Taiwa Commucations,"Near Mpeketoni,Along Malindi-Lamu road",0703 976 336
coast,Gedi,",Kenya","Gedi, Kenya",Tellem Ltd,"Next to Gedi Youth Polytecnic, Along Mombasa - Malindi Road At The Junction to Watamu",0721 747 189
coast,Kokotoni Market Centre,",Kenya","Kokotoni Market Centre, Kenya",Lightening bolt k. Ltd,Along Mombasa Nairobi Highway,0722 318 603
coast,Malindi,",Kenya","Malindi, Kenya",Safaricom Retail Centre,"Tss Building, Kenyatta Road",0719 781 500
coast,Mariakani,",Kenya","Mariakani, Kenya",Beamra Investment,At Main Stage,0724 503 038
coast,Mariakani,",Kenya","Mariakani, Kenya",Kiragu Printers and M-pesa,"Along the Highway ,Opposite Coast Parish Hotel,Near Mariakani Judiciary",0722 879 242
coast,Migadini,",Kenya","Migadini, Kenya",Tamaz communication,Opposite Bareko Bar,0722 412 591
coast,Mtwapa,",Kenya","Mtwapa, Kenya",Mlish investment,"Karama, Mwisho Wa Matatu Behind Kongowea Market",0722 105 018
coast,Mobile dealer,",Kenya","Mobile dealer, Kenya",Sunshine Communications,Mobile(moves from town to town),0724 529 684
coast,Mombasa,",Kenya","Mombasa, Kenya",Tosh Centre,"Along Hospital Street,Opposite Hide Corner Restaurant",0722 595 079
coast,Mombasa,",Kenya","Mombasa, Kenya",Giltech Blessed Electricals,Mishomoroni Gorofani Shopping Centre Next to Mwisho wa Lami,0724 314 386
coast,Mombasa,",Kenya","Mombasa, Kenya",Safaricom Retail Centre,"Rex House, Moi Avenue Street",0728 593 997
coast,Mpeketoni,",Kenya","Mpeketoni, Kenya",Joeschem Afia Enterprises,"Along Malindi-Lamu Rd,Winners lodge next to Safaricom Towers",0725 873 664
coast,Nyali,",Kenya","Nyali, Kenya",Safaricom Retail Centre,"City Mall, Nyali Mombasa - Malindi Highway",0716 075 147
coast,"Kaloleni, Giriama",",Kenya","Kaloleni, Giriama, Kenya",Taji Hardware and General Suplies,"At the Junction of Mariakani - Kaloleni Road Near Ventures Land Chemist, Opposite Sweet Joint Hotel",0722 475 839
coast,Kaloleni,",Kenya","Kaloleni, Kenya",Lightening Bolt-Kilifi Kaloleni,Next to Deliverance Faith Academy,0704 560 772
coast,Kilifi,",Kenya","Kilifi, Kenya",PCI Electronics and Computers,Next Armtec Shop,0723 172 021
coast,Kilifi,",Kenya","Kilifi, Kenya",Canaan Business Centre,"Kibaoni Market, Kilifi Town Opposite Pwani University",0719 470 266
coast,Kilifi,",Kenya","Kilifi, Kenya",Medium Hardware,Along Kilifi - Vitengeni Road Matano Mane Trading Centre,0712 340 101
coast,Kilifi,",Kenya","Kilifi, Kenya",Armtect Comminications,Opposite Titanic Hotel,0721 597 875
coast,kilifi,",Kenya","kilifi, Kenya",Bayt Construction Ltd,Charo Mae At The Kilifi Stage,0700 117 978
coast,Kilifi,",Kenya","Kilifi, Kenya",Annex Telcom,"Matsagoni Shopping Center, Along Kilifi - Malindi Road",0729 870 642
coast,Kilifi,",Kenya","Kilifi, Kenya",Mikes Mini Shop,"Along Malindi - Kilifi Highway, Kibaoni Shopping,Opposite Pwani University",0721 634 008
coast,Kilifi,",Kenya","Kilifi, Kenya",Elegant Comm,"Tezo Trading Centre, Along Kilifi - Malindi Highway",0720 708 075
coast,Kilifi,",Kenya","Kilifi, Kenya",Jubah Agencies,"Enterprise rd,Near Titanic Hotel,Opposite Ndala Hse",0721 210 933
coast,Kilifi,",Kenya","Kilifi, Kenya",Mwananchi Shop/Blue Diamond,Kiwandani Centre,0720 867 823
coast,Shanzu,",Kenya","Shanzu, Kenya",Lightening Bolt-Shanzu,"Shanzu Market,Next to Bundus Pub,Along Mombasa-Malindi Old road.",0729 285 205
coast,Sultan,",Kenya","Sultan, Kenya",Good Luck Agrovet,"Danico Communication,Opposite Sultan Police Station",0724 453 136
coast,Taveta,",Kenya","Taveta, Kenya",Magutu Provision Store,"Next To Taveta District Hospital, Opposite Taveta Posta",0725 962 941
coast,Takaungu,",Kenya","Takaungu, Kenya",Takaungu Shop & M-pesa,"Takaungu Junction, Along Mombasa - Kilifi Road",0721 333 270
coast,Voi,",Kenya","Voi, Kenya",Sagalla Hardware,"Voi CBD, Near Equity Bank",0721 524 163
coast,Voi,",Kenya","Voi, Kenya",Taji Hardware and General Suplies,At the Bus Terminus,0714 302 630
coast,Watamu,",Kenya","Watamu, Kenya",Sawere Mobile Phones Network Ltd,"Along Marine Road, OppositeTurtlebay Hotel",0726 505 250
eastern,Emali,",Kenya","Emali, Kenya","M-KOPA, Emali -Nasaru Bookshop",Nasaru Bookshop at Maasai Inn Guest House,0702 163 616
eastern,Wote,",Kenya","Wote, Kenya","M-KOPA,Wote PPS Mobile Ltd","Wote Center opposite Wote market,Wote town",0710 919 401
eastern,Kajiado,",Kenya","Kajiado, Kenya","M-KOPA, Kajiado-Atlantic Communication Ltd Warehouse",Opposite Kajiado stage,0710 918 508
eastern,Kajiado,",Kenya","Kajiado, Kenya","M-KOPA, Kiserian Olomunyak","Kiserian Main Market, opposite Shine Butchery",0708 086 580
eastern,Athi River,",Kenya","Athi River, Kenya","M-KOPA, Athi River - PN Ndeti and Bros",Athi River Makadara stage on PN Ndeti Building,0708 086 538
eastern,Embu,",Kenya","Embu, Kenya","M-KOPA, Telematt view site",Next to Consolidated bank opposite family Bank,0708 086 488
eastern,Isiolo,",Kenya","Isiolo, Kenya","M-KOPA, Isiolo electronic traders",On Multi Plaza Building opposite Shell Petrol station,0708 086 585
eastern,Machakos,",Kenya","Machakos, Kenya","M-KOPA, Machakos Town - Nijrang enterprises",Nijrang enterprises Machakos Opposite K-rep bank,0708 086 601
eastern,Archer's Post,",Kenya","Archer's Post, Kenya",Acacia Cyber Shop,"Next to Equity Bank,36kms from Isiolo",0722 886 597
eastern,Athi River,",Kenya","Athi River, Kenya",Databel Investments,Next To Cooperative Bank,0724 082 443
eastern,Chuka,",Kenya","Chuka, Kenya",Nikis Shop,Ndagani Market behind Muringa Hotel,0727 883 366
eastern,Chuka,",Kenya","Chuka, Kenya",Generation Electronics Chuka,Opposite Equity Bank,0721 404 148
eastern,Chuka,",Kenya","Chuka, Kenya",Cyber Com Café,Prestige School/uniform and beauty Parlour Opposite Marigiti Market,0722 382 078
eastern,Embu,",Kenya","Embu, Kenya",Generation Electronics Embu,Opposite Equity Bank,0725 225 250
eastern,Embu,",Kenya","Embu, Kenya",Safaricom Retail Centre,"Next To Equity Bank, Near Kwft( Kenya Women Finance Trust)",0728 539 560
