,WARD,,
1,AGENGA/NANGUBA,,AGENG'A NANGUBA
2,AIRBASES,,AIRBASE
3,AMAKURA CENTRAL,,AMUKURA CENTRAL
4,ANGATA BARRIKOI,,ANGATA BARIKOI
5,ANGATA NANYUKIE,,ANGATA NANYOKIE
6,ANGOROM,,ANG'OROM
7,ANGURAI EAST,,ANG'URAI EAST
8,ANGURAI NORTH,,ANG'URAI NORTH
9,ANGURAI SOUTH,,ANG'URAI SOUTH
10,BABADOGO,,BABA DOGO
11,BOKOILI,,BOKOLI
12,BOMENI,,BOMANI
13,BULABESA,,BULLA PESA
14,BURDERE,,BURDER
15,BUTALI /CHEGULO,,BUTALI/CHEGULO
16,CALIFONIA,,CALIFORNIA
17,CHALLA,,CHALA
18,CHEMUNDU/KAPNG'ETUNYI,,CHEMUNDU/KAPNG'ETUNY
19,CHENGOVI /SAMBURU,,CHENGONI/SAMBURU
20,DADAJABULLA,,DADAJA BULLA
21,DAMAJALEY,,DAMAJALE
22,DANYERERE,,DANYERE
23,DEKAHARJA,,DEKAHARIA
24,DELA,,DELLA
25,DIDAN KIMATHI,,DEDAN KIMANTHI
26,ENTONET /LENKISM,,ENTONET/LENKISIM
27,ENUR,,ELNUR/TULA TULA
28,EWALEL/CHAPCHAP,,EWALEL CHAPCHAP
29,EWUASO OOKIDONGI,,EWUASO OONKIDONG'I
30,GATUANYALA,,GATUANYAGA
31,HABASWEIN,,HABASSWEIN
32,HADADO,,HADADO/ATHIBOHOL
33,HOMA-BAY ARUJO,,HOMA BAY ARUJO
34,HOMA-BAY EAST,,HOMA BAY CENTRAL
35,HOMA-BAY WEST,,HOMA BAY EAST
36,HOMABAY CENTRAL,,HOMA BAY WEST
37,IGAMBANGOMBE,,IGAMBANG'OMBE
38,IGEMBE,,IGEMBE EAST
39,JARJARA,,JARA JARA
40,KABONYO /KANYAGWAL,,KABONYO/KANYAGWAL
41,KAGUNDU -INI,,KAGUNDU-INI
42,KAHAWA WENDANI,,
43,KANJUIRI,,KANJUIRI RANGE
44,KANZIKU/SIMISI,,KANZIKO
45,KAPUTIET,,KAPUTIEI NORTH
46,KASIGHAU,,KASIGAU
47,KEIYAN,,KEYIAN
48,KIHUMBUINI,,KIHUMBU-INI
49,KIMINDET,,KIMINTET
50,KIPTUIYA,,KIPTUYA
51,KIRITI,,KIRIITA
52,KITHUNGO KITUNDU,,KITHUNGO/KITUNDU
53,KITISEI/KITHUKI,,KITISE/KITHUKI
54,KIUU/GITHURAI,,KIUU
55,KOLOWA/LOWIAT,,KOLOWA
56,KORONDILLE,,KORONDILE
57,KOTAPUK /LOBEI,,KOTARUK/LOBEI
58,KURGUNGI/SURUNGAI,,KURGUNG/SURUNGAI
59,KWAMUTONGA/KITHUMULA,,KWA MUTONGA/KITHUMULA
60,LABSIGALE,,LABASIGALE
61,LAKEZONE,,LAKE ZONE
62,LARI /KIRENGO,,LARI/KIRENGA
63,LEKOLE SOUTH/BASIR,,LAKOLEY SOUTH/BASIR
64,LEMBUS PERKERRA,,LEMBUS/PERKERRA
65,LOKICHOGIO,,LOKICHOGGIO
66,MALAHA /ISONGO,,MALAHA/ISONGO/MAKUNGA
67,MALKA GHUF,,MALKAGUFU
68,MANGU,,MANG'U
69,MANYATTA B,,MANYATTA 'B'
70,MARACH WEST,,MARACHI WEST
71,MARENYO/SHIANDA,,MARENYO - SHIANDA
72,MARIGAT/EWALEL/KIMONDIS,,MARIGAT
73,MATAPA NORTH,,MATAPATO NORTH
74,MATAPA SOUTH,,MATAPATO SOUTH
75,MITAMBONI,,MITABONI
76,MITUUNGU,,MITUNGUU
77,MLANGO,,MLANGO KUBWA
78,MOIBEN KUSERWO,,MOIBEN
79,MUKAA/KAITANGO,,MUKAA
80,MUKURWEINI CENTRAL,,MUKURWE-INI CENTRAL
81,MUMBERES/MAJIMAZURI,,MUMBERES/MAJI MAZURI
82,MUTARAKWO,,MUTARAKWA
83,MUTU-INI,,MUTITUNI
84,MUVAU KIUKUMINI,,MUVAU/KIKUUMINI
85,MUVUTI/KIIMA KIMWE,,MUVUTI/KIIMA-KIMWE
86,MWINGI CENTRAL,,MWIMBI
87,NAMBOBOTO/NAMBUKU,,NAMBOBOTO NAMBUKU
88,NANAM,,NANAAM
89,NDALU/TABANI,,NDALU/ TABANI
90,NGARARIA,,NG'ARARIA
91,NJABANI/KIBURU,,NJABINI\KIBURU
92,NJUKI-INI,,NJUKIINI
93,NORTH  KINANGOP,,NORTH KINANGOP
94,NYAYO HIGH RISE,,NYAYO HIGHRISE
95,OLLESSOS,,OL'LESSOS
96,OLOOSIRKON/SHJOLINKE,,OLOOSIRKON/SHOLINKE
97,PARKLANDS,,PARKLANDS/HIGHRIDGE
98,PONGWE,,PONGWE/KIKONENI
99,PORO,,PORRO
100,RABAI /KISURUTINI,,RABAI/KISURUTINI
101,RACE COURSE,,RACECOURSE
102,RONGE,,RONG'E
103,RUIRI / RWARERA,,RUIRI/RWARERA
104,RUMA/KAKSINGRI,,RUMA-KAKSINGIRI EAST
105,RUSINGA,,RUSINGA ISLAND
106,SAIMO SOI,,SAIMO/SOI
107,SANG'ALO/KEBULONIK,,SANGALO/KEBULONIK
108,SHAURI MOYO KALOLENI,,SHAURIMOYO KALOLENI
109,SHELA,,SHELLA
110,SILIBWET,,SILIBWET TOWNSHIP
111,SITIKO,,SITIKHO
112,SOYSAMBU /MITUA,,SOYSAMBU/ MITUA
113,SYOKIMAU/MLOLONGO,,SYOKIMAU/MULOLONGO
114,TESO,,TEZO
115,TINDERET,,TINDIRET
116,TINGANGA,,TING'ANG'A
117,TONGAREN/KIMININI,,TONGAREN
118,UPPERSAVANAH,,UPPER SAVANNAH
119,WAIA -KAKO,,WAIA/KAKO
120,WANG'CHIENG,,WANGCHIENG
121,WEI WEI,,WEIWEI
122,WEST YIMBO,,WOODLEY/KENYATTA GOLF COURSE
123,WOODLEY/KENYATTA,,YIMBO WEST
124,ZOMBE MWITIKA,,ZOMBE/MWITIKA
