"","x"
"1","MANG'U"
"2","GITUAMBA"
"3","CHANIA"
"4","GITHOBOKONI"
"5","SUMMARY"
"6","NDARUGU"
"7","NGENDA"
"8","KIGANJO"
"9","KIAMWANGI"
"10","KAMOTHAI"
"11","IKINU"
"12","GITHIGA"
"13","NGEWA"
"14","WITEITHIE"
"15","MURERA"
"16","THETA"
"17","JUJA"
"18","KALIMONI"
"19","KIHARA"
"20","MUCHATHA"
"21","KARURI"
"22","NDENDERU"
"23","CIANDA"
"24","KIAMBU TOWNSHIP"
"25","RIABAI"
"26","NDUMBERI"
"27","TING'ANG'A"
"28","MUGUGA"
"29","UTHIRU"
"30","NYATHUMA"
"31","GITARU"
"32","KABETE"
"33","SIGONA"
"34","NACHU"
"35","KARAI"
"36","KINOO"
"37","KIKUYU"
"38","NYANDUMA"
"39","KAMBURU"
"40","LARI/KIRENGA"
"41","KINALE"
"42","BIBIRIONI"
"43","NGECHA TIGONI"
"44","LIMURU CENTRAL"
"45","NDEIYA"
"46","LIMURU EAST"
"47","BIASHARA"
"48","KAHAWA"
"49","MWIKI"
"50","GITOTHUA"
"51","GATONGORA"
"52","KIUU"
"53","NGOLIBA"
"54","HOSPITAL"
"55","THIKA TOWNSHIP"
"56","KAMENU"
"57","GATUANYAGA"
"58","KANGAI"
"59","NYANGATI"
"60","THIBA"
"61","GATHIGIRIRI"
"62","WAMUMU"
"63","KARUMANDI"
"64","KABARE"
"65","NJUKIINI"
"66","BARAGWI"
"67","NGARIAMA"
"68","MUTIRA"
"69","KERUGOYA"
"70","INOI"
"71","MUKURE"
"72","KARITI"
"73","KIINE"
"74","KIHUMBU-INI"
"75","ITHANGA"
"76","MUGUMO-INI"
"77","KAKUZI/MITUBIRI"
"78","GATANGA"
"79","KARIARA"
"80","NG'ARARIA"
"81","MURUKA"
"82","ITHIRU"
"83","RUCHU"
"84","GAICHANJIRU"
"85","KAGUNDU-INI"
"86","RWATHIA"
"87","MUGURU"
"88","KIGUMO"
"89","MUTHITHI"
"90","KAHUMBU"
"91","KANGARI"
"92","KINYONA"
"93","GATURI"
"94","MUGOIRI"
"95","MBIRI"
"96","TOWNSHIP"
"97","MURARANDIA"
"98","WANGU"
"99","ICHAGAKI"
"100","KAMAHUHA"
"101","KAMBITI"
"102","KIMORORI/WEMPA"
"103","MAKUYU"
"104","NGINDA"
"105","KAMACHARIA"
"106","KIRU"
"107","GITUGI"
"108","GETA"
"109","GITHIORO"
"110","WANJOHI"
"111","MURUNGARU"
"112","NORTH KINANGOP"
"113","ENGINEER"
"114","GATHARA"
"115","NYAKIO"
"116","MAGUMU"
"117","GITHABAI"
"118","NJABINI\KIBURU"
"119","CENTRAL"
"120","KIRIITA"
"121","LESHAU PONDO"
"122","SHAMATA"
"123","CHARAGITA"
"124","GATHANJI"
"125","WERU"
"126","KAIMBAGA"
"127","KANJUIRI RANGE"
"128","KARAU"
"129","MIRANGINE"
"130","RURII"
"131","GAKAWA"
"132","MUGUNDA"
"133","MWEIGA"
"134","THEGU RIVER"
"135","GATARAKWA"
"136","MAGUTU"
"137","RUNGURU"
"138","RUGURU"
"139","MUKURWE-INI CENTRAL"
"140","GATITU/MURUGURU"
"141","RWARE"
"142","KINANGO"
"143","KARIMA"
"144","AGUTHI GAAKI"
"145","DEDAN KIMANTHI"
"146","DABASO"
"147","TEZO"
"148","WATAMU"
"149","KIBAUNI"
"150","SOKONI"
"151","MNARANI"
"152","MTEPENI"
"153","SHIMO LA TEWA"
"154","JUNJU"
"155","MWARAKAYA"
"156","CHASIMBA"
"157","SOKOKE"
"158","BAMBA"
"159","JARIBUNI"
"160","GANZE"
"161","KAYAFUNGO"
"162","MARIAKANI"
"163","KALOLENI"
"164","MWANAMWINGA"
"165","ADU"
"166","SABAKI"
"167","MAGARINI"
"168","GONGONI"
"169","MARAFA"
"170","GANDA"
"171","JILORE"
"172","KAKUYUNI"
"173","MALINDI TOWN"
"174","MWAWESA"
"175","RURUMA"
"176","RABAI/KISURUTINI"
"177","KAMBE/RIBE"
"178","MACKINON"
"179","MWAVUMBO"
"180","NDAVAYA"
"181","CHENGONI/SAMBURU"
"182","MACKINON ROAD"
"183","MAVUMBO"
"184","KISIMA"
"185","PUMA"
"186","DZOMBO"
"187","LUNGA LUNGA"
"188","MWERENI"
"189","RAMISI"
"190","VANGA"
"191","PONGWE/KIKONENI"
"192","KUBO SOUTH"
"193","MKONGANI"
"194","TIWI"
"195","TSIMBA"
"196","WAA"
"197","KINONDO"
"198","UKUNDA"
"199","FAZA"
"200","KIUNGA"
"201","BASUBA"
"202","MKOMANI"
"203","SHELLA"
"204","HONGWE"
"205","WITU"
"206","BAHARI"
"207","MKUNUMBI"
"208","MOKOWE"
"209","MBOGHONI"
"210","BOMANI"
"211","CHALA"
"212","MAHOO"
"213","MATA"
"214","MWATATE"
"215","BURA"
"216","CHAWIA"
"217","WUSI/KISHAMBA"
"218","RONG'E"
"219","MBOLOLO"
"220","MARUNGU"
"221","KASIGAU"
"222","SAGHALA"
"223","NGOLIA"
"224","MBALE/WUNDANYI"
"225","WERUGHA"
"226","MGHANGE/MWANDA"
"227","KISHUSHE /WUMINGU"
"228","CHEWELE"
"229","MADOGO"
"230","SALA"
"231","BANGALE"
"232","HIRIMANI"
"233","CHEWANI"
"234","MIKINDUNI"
"235","WAYU"
"236","KINAKOMBA"
"237","GARSEN SOUTH"
"238","GARSEN CENTRAL"
"239","KIPINI EAST"
"240","GARSEN WEST"
"241","KIPINI WEST"
"242","GARSEN NORTH"
"243","EVURORE"
"244","NTHAWA"
"245","MUMINJI"
"246","MAVURIA"
"247","KIAMBERE"
"248","MBETI SOUTH"
"249","MAKIMA"
"250","MWEA"
"251","GATURI SOUTH"
"252","KITHIMU"
"253","MBETI NORTH"
"254","RUGURU/NGANDORI"
"255","KAGAARI SOUTH"
"256","KYENI SOUTH"
"257","RUNYENJES CENTRAL"
"258","KAGAARI NORTH"
"259","GATURI NORTH"
"260","KANGARU SOUTH"
"261","NGAREMARA"
"262","BULLA PESA"
"263","BURAT"
"264","MERTI"
"265","OLDONYIRO"
"266","WABERA"
"267","KITUI TOWNSHIP"
"268","KYANGWITHYA EAST"
"269","NZAMBANI"
"270","ZOMBE/MWITIKA"
"271","MUTITO/KALIKU"
"272","CHULUNI"
"273","KISASI"
"274","YATTA KWAVONZA"
"275","KANYANGI"
"276","MUTHA"
"277","IKANGA/KYATUNE"
"278","MUTONGUNI"
"279","KWA MUTONGA/KITHUMULA"
"280","NGUNI"
"281","MWIMBI"
"282","NGOMENI"
"283","KYUSO"
"284","THARAKA"
"285","MUMONI"
"286","KANZIKO"
"287","NGUUTANI"
"288","MIGWANI"
"289","KANGUNDO CENTRAL"
"290","KANGUNDO EAST"
"291","KANGUNDO NORTH"
"292","KANGUNDO WEST"
"293","KATHIANI CENTRAL"
"294","LOWER KAEWA"
"295","UPPER KAEWA/IVETI"
"296","MITABONI"
"297","KALAMA"
"298","KOLA"
"299","MACHAKOS CENTRAL"
"300","MUA"
"301","MUMBUNI NORTH"
"302","MUTITUNI /NGELANI"
"303","MUVUTI/KIIMA-KIMWE"
"304","EKALAKALA"
"305","KIVAA"
"306","MASINGA CENTRAL"
"307","MUTHESYA"
"308","NDITHINI"
"309","KYELENI"
"310","MATUNGULU EAST"
"311","MATUNGULU NORTH"
"312","MATUNGULU WEST"
"313","TALA"
"314","ATHI RIVER"
"315","KINANIE"
"316","MUTHWANI"
"317","SYOKIMAU/MULOLONGO"
"318","MWALA/MAKUTANO"
"319","MASII"
"320","MUTHETHENI"
"321","WAMUNYU"
"322","MWALA /MAKUTANO"
"323","IKOMBE"
"324","KATANGI"
"325","KITHIMANI"
"326","MATUU"
"327","NDALANI"
"328","KILUNGU"
"329","UKIA"
"330","ILIMA"
"331","KEE"
"332","THANGE"
"333","MTITO ANDEI"
"334","MASONGALENI"
"335","MAKINDU"
"336","KUKUMBULYU NORTH"
"337","NGUU/MASUMBA"
"338","KIKUMBULYU SOUTH"
"339","NGUUMO"
"340","EMALI/MULALA"
"341","KIKUMBULYU NORTH"
"342","MUKAA"
"343","KASIKEU"
"344","KIAMAIKO"
"345","MBITINI"
"346","WOTE"
"347","NZAUI/KILILI/KALAMBA"
"348","MUVAU/KIKUUMINI"
"349","MAVINDINI"
"350","KATHONZWENI"
"351","KITISE/KITHUKI"
"352","KALAWA"
"353","TULIMANI"
"354","KITHUNGO/KITUNDU"
"355","MBOONI"
"356","WAIA/KAKO"
"357","KISAU/KITETA"
"358","KIBIRICHIA"
"359","TIMAU"
"360","RUIRI/RWARERA"
"361","ABOTHUGUCHI CENTRAL"
"362","MWANGANTHIA"
"363","KIAGU"
"364","ABOTHUGUCHI WEST"
"365","IGOJI EAST"
"366","IGOJI WEST"
"367","ABOGETA EAST"
"368","ABOGETA WEST"
"369","NKUENE"
"370","MITUNGUU"
"371","IGAMBANG'OMBE"
"372","MAGUMONI"
"373","DANYERE"
"374","BALAMBALA"
"375","JARA JARA"
"376","SANKURI"
"377","SAKA"
"378","DERTU"
"379","DADAAB"
"380","LIBOI"
"381","ABAKAILE"
"382","LABASIGALE"
"383","DAMAJALE"
"384","GALBET"
"385","WABERI"
"386","DEKAHARIA"
"387","JARAJILA"
"388","FAFI"
"389","NANIGHI"
"390","HULUGHO"
"391","MASALANI"
"392","IJARA"
"393","SANGAILU"
"394","SABENA"
"395","MAALIMIN"
"396","BARAKI"
"397","BENANE"
"398","LAKOLEY SOUTH/BASIR"
"399","ELNUR/TULA TULA"
"400","ELDAS"
"401","DELLA"
"402","TARBAJ"
"403","WARGADUD"
"404","ELBEN"
"405","SARMAN"
"406","KHOROF HARAR"
"407","WAGBERI"
"408","BUNA"
"409","GURAR"
"410","BUTE"
"411","KORONDILE"
"412","GODOMA"
"413","MALKAGUFU"
"414","DANABA"
"415","DADAJA BULLA"
"416","BURDER"
"417","DIIF"
"418","HABASSWEIN"
"419","LAGBOGHOL SOUTH"
"420","IBRAHIM URE"
"421","ARBAJAHAN"
"422","ADEMASAJIDA"
"423","HADADO/ATHIBOHOL"
"424","WAGALLA"
"425","ELWAK NORTH"
"426","RHAMU"
"427","GUTICHA"
"428","KUTULO"
"429","ASHABITO"
"430","SHIMBIRFATUMA"
"431","KHALALIO"
"432","NEBOI"
"433","ARABIA"
"434","ELWAK SOUTH"
"435","SHIMBIR FATUMA"
"436","HOMA BAY CENTRAL"
"437","HOMA BAY EAST"
"438","HOMA BAY ARUJO"
"439","HOMA BAY WEST"
"440","KAKSINGRI WEST"
"441","RUMA-KAKSINGIRI EAST"
"442","GWASSI SOUTH"
"443","GWASSI NORTH"
"444","WEST KARACHUONYO"
"445","CENTRAL RACHUONYO"
"446","KANYALUO"
"447","KIBIRI"
"448","KENDU BAY"
"449","NORTH KARACHUONYO"
"450","WANGCHIENG"
"451","KOKWANYO/KAKELO"
"452","KOJWACH"
"453","KABONDO EAST"
"454","KABONDO WEST"
"455","WEST KASIPUL"
"456","WEST KAMAGAK"
"457","SOUTH KASIPUL"
"458","EAST KAMAGAK"
"459","CENTRAL KASIPUL"
