,WARD
1,ABAKAILE
6,ABOGETA EAST
17,ABOGETA WEST
29,ABOTHUGUCHI CENTRAL
45,ADU
78,AGENG'A NANGUBA
109,AHERO
131,AIRBASE
135,ALALE
156,AMUKURA CENTRAL
174,AMUKURA EAST
197,AMUKURA WEST
206,ANG'OROM
212,ANG'URAI EAST
231,ANG'URAI NORTH
260,ANG'URAI SOUTH
280,ANGATA BARIKOI
297,ANGATA NANYOKIE
309,ARABIA
334,ARBAJAHAN
348,ARROR
366,ASHABITO
369,ATHI RIVER
380,AWASI/ONJIKO
386,BAAWA
394,BABA DOGO
397,BAHARI
409,BALAMBALA
418,BAMBA
461,BANGALE
465,BARAGWI
488,BARAKI
495,BARTABWA
516,BARWESSA
556,BASUBA
561,BATEI
587,BENANE
621,BIASHARA
654,BIBIRIONI
667,BOKOLI
701,BOMANI
706,BUKEMBE EAST
721,BUKEMBE WEST
739,BUKHAYO CENTRAL
752,BUKHAYO EAST
772,BUKHAYO NORTH/WALATSI
791,BUKHAYO WEST
802,BULLA PESA
803,BUMULA
830,BUNYALA CENTRAL
896,BUNYALA EAST
909,BUNYALA NORTH
924,BUNYALA SOUTH
935,BUNYALA WEST
957,BURA
1159,BURAT
1165,BURDER
1169,BURUMBA
1173,BUSIBWABO
1184,BUTALI/CHEGULO
1329,BUTE
1335,BUTSOTSO CENTRAL
1385,BUTSOTSO EAST
1394,BUTSOTSO SOUTH
1526,BWIRI
1541,CALIFORNIA
1543,CENTRAL
1939,CENTRAL BUNYORE
1960,CENTRAL KASIPUL
1981,CENTRAL KISUMU
1988,CENTRAL NYAKACH
2007,CENTRAL SAKWA
2063,CENTRAL SEME
2076,CHAKOL NORTH
2089,CHAKOL SOUTH
2113,CHALA
2136,CHANIA
2247,CHARAGITA
2275,CHASIMBA
2291,CHAWIA
2327,CHEBOIN
2336,CHEBUNYO
2475,CHEKALINI
2507,CHEMAGEL
2670,CHEMELIL
2685,CHEMELIL/CHEMASE
2705,CHEMUCHE
2726,CHEMUNDU/KAPNG'ETUNY
2748,CHENGONI/SAMBURU
2777,CHEPARERIA
2802,CHEPKORIO
2845,CHEPKUMIA
2866,CHEPKUNYUK
2899,CHEPTAIS
2907,CHEPTERWAI
2929,CHEPYUK
2958,CHERANGANY/SUWERWA
2974,CHESIKAKI
2997,CHESOEN
3000,CHEVAYWA
3157,CHEWANI
3167,CHEWELE
3183,CHULUNI
3194,CHURO/AMAYA
3217,CIANDA
3226,DABASO
3233,DADAAB
3237,DADAJA BULLA
3243,DALALEKUTUK
3269,DAMAJALE
3271,DANABA
3284,DANDORA AREA I
3285,DANDORA AREA II
3287,DANDORA AREA III
3288,DANDORA AREA IV
3289,DANYERE
3291,DEDAN KIMANTHI
3506,DEKAHARIA
3515,DELLA
3523,DERTU
3526,DIIF
3531,DZOMBO
3555,EAST GEM
3597,EAST KABRAS
3614,EAST KAMAGAK
3619,EAST KANO/WAWIDHI
3641,EAST SEME
3665,EAST WANGA
3684,EASTLEIGH NORTH
3685,EASTLEIGH SOUTH
3686,EKALAKALA
3726,EL-BARTA
3737,ELBEN
3745,ELDAS
3748,ELGON
3782,ELNUR/TULA TULA
3793,ELUGULU
3807,ELWAK NORTH
3812,ELWAK SOUTH
3820,EMALI/MULALA
3860,EMBAKASI
3865,EMBOMOS
4025,EMINING
4054,EMSOO
4079,ENDO
4091,ENGINEER
4097,ENTONET/LENKISIM
4107,ETENJE
