"","WARD"
"1","PTOYO/NAKWIJIT"
"2","PORT REITZ"
"3","KIPEVU"
"4","AIRPORT"
"5","CHANGAMWE"
"6","CHAANI"
"7","JOMVU KUU"
"8","MIRITINI"
"9","MIKINDANI"
"10","MJAMBERE"
"11","JUNDA"
"12","BAMBURI"
"13","MWAKIRUNGE"
"14","MTOPANGA"
"15","MAGOGONI"
"16","SHANZU"
"17","FRERE TOWN"
"18","ZIWA LA NG'OMBE"
"19","MKOMANI"
"20","KONGOWEA"
"21","KADZANDANI"
"22","MTONGWE"
"23","SHIKA ADABU"
"24","BOFU"
"25","LIKONI"
"26","TIMBWANI"
"27","MJI WA KALE/MAKADARA"
"28","TUDOR"
"29","TONONOKA"
"30","SHIMANZI/GANJONI"
"31","MAJENGO"
"32","GOMBATO BONGWE"
"33","UKUNDA"
"34","KINONDO"
"35","RAMISI"
"36","PONGWE/KIKONENI"
"37","DZOMBO"
"38","MWERENI"
"39","VANGA"
"40","TSIMBA GOLINI"
"41","WAA"
"42","TIWI"
"43","KUBO SOUTH"
"44","MKONGANI"
"45","NDAVAYA"
"46","PUMA"
"47","KINANGO"
"48","MACKINNON ROAD"
"49","CHENGONI/SAMBURU"
"50","MWAVUMBO"
"51","TEZO"
"52","SOKONI"
"53","KIBARANI"
"54","DABASO"
"55","MATSANGONI"
"56","WATAMU"
"57","MNARANI"
"58","JUNJU"
"59","MWARAKAYA"
"60","SHIMO LA TEWA"
"61","CHASIMBA"
"62","MTEPENI"
"63","MARIAKANI"
"64","KAYAFUNGO"
"65","KALOLENI"
"66","MWANAMWINGA"
"67","MWAWESA"
"68","RURUMA"
"69","KAMBE/RIBE"
"70","RABAI/KISURUTINI"
"71","GANZE"
"72","BAMBA"
"73","JARIBUNI"
"74","SOKOKE"
"75","JILORE"
"76","KAKUYUNI"
"77","GANDA"
"78","MALINDI TOWN"
"79","SHELLA"
"80","MARAFA"
"81","MAGARINI"
"82","GONGONI"
"83","ADU"
"84","GARASHI"
"85","SABAKI"
"86","KIPINI EAST"
"87","GARSEN SOUTH"
"88","KIPINI WEST"
"89","GARSEN CENTRAL"
"90","GARSEN WEST"
"91","GARSEN NORTH"
"92","KINAKOMBA"
"93","MIKINDUNI"
"94","CHEWANI"
"95","WAYU"
"96","CHEWELE"
"97","BURA"
"98","BANGALE"
"99","SALA"
"100","MADOGO"
"101","FAZA"
"102","KIUNGA"
"103","BASUBA"
"104","SHELLA"
"105","MKOMANI"
"106","HINDI"
"107","MKUNUMBI"
"108","HONGWE"
"109","WITU"
"110","BAHARI"
"111","CHALA"
"112","MAHOO"
"113","BOMANI"
"114","MBOGHONI"
"115","MATA"
"116","WUNDANYI/MBALE"
"117","WERUGHA"
"118","WUMINGU/KISHUSHE"
"119","MWANDA/MGANGE"
"120","RONG'E"
"121","MWATATE"
"122","BURA(MWATATE)"
"123","CHAWIA"
"124","WUSI/KISHAMBA"
"125","MBOLOLO"
"126","SAGALA"
"127","KALOLENI"
"128","MARUNGU"
"129","KASIGAU"
"130","NGOLIA"
"131","WABERI"
"132","GALBET"
"133","TOWNSHIP"
"134","IFTIN"
"135","BALAMBALA"
"136","DANYERE"
"137","JARA JARA"
"138","SAKA"
"139","SANKURI"
"140","MODOGASHE"
"141","BENANE"
"142","GOREALE"
"143","MAALIMIN"
"144","SABENA"
"145","BARAKI"
"146","DERTU"
"147","DADAAB"
"148","LABASIGALE"
"149","DAMAJALE"
"150","LIBOI"
"151","ABAKAILE"
"152","BURA"
"153","DEKAHARIA"
"154","JARAJILA"
"155","FAFI"
"156","NANIGHI"
"157","HULUGHO"
"158","SANGAILU"
"159","IJARA"
"160","MASALANI"
"161","GURAR"
"162","BUTE"
"163","KORONDILE"
"164","MALKAGUFU"
"165","BATALU"
"166","DANABA"
"167","GODOMA"
"168","WAGBERI"
"169","TOWNSHIP"
"170","BARWAGO"
"171","KHOROF/HARAR"
"172","ELBEN"
"173","SARMAN"
"174","TARBAJ"
"175","WARGADUD"
"176","ARBAJAHAN"
"177","HADADO/ATHIBOHOL"
"178","ADEMASAJIDE"
"179","GANYURE/WAGALLA"
"180","ELDAS"
"181","DELLA"
"182","LAKOLEY SOUTH/BASIR"
"183","ELNUR/TULA TULA"
"184","BENANE"
"185","BURDER"
"186","DADAJA BULLA"
"187","HABASSWEIN"
"188","LAGBOGHOL SOUTH"
"189","IBRAHIM URE"
"190","DIIF"
"191","TAKABA SOUTH"
"192","TAKABA"
"193","LAGSURE"
"194","DANDU"
"195","GITHER"
"196","BANISSA"
"197","DERKHALE"
"198","GUBA"
"199","MALKAMARI"
"200","KILIWEHIRI"
"201","ASHABITO"
"202","GUTICHA"
"203","MOROTHILE"
"204","RHAMU"
"205","RHAMU DIMTU"
"206","WARGUDUD"
"207","KUTULO"
"208","ELWAK SOUTH"
"209","ELWAK NORTH"
"210","ARABIA"
"211","BULLA MPYA"
"212","KHALALIO"
"213","NEBOI"
"214","TOWNSHIP"
"215","LIBEHIA"
"216","FINO"
"217","LAFEY"
"218","WARANKARA"
"219","ALANGO GOF"
"220","BUTIYE"
"221","SOLOLO"
"222","HEILU/MANYATTA"
"223","GOLBO"
"224","GOLBO"
"225","MOYALE TOWNSHIP"
"226","URAN"
"227","OBBU"
"228","DUKANA"
"229","MAIKONA"
"230","TURBI"
"231","NORTH HORR"
"232","ILLERET"
"233","SAGANTE/JALDESA"
"234","KARARE"
"235","MARSABIT CENTRAL"
"236","LOIYANGALANI"
"237","KARGI/SOUTH HORR"
"238","KORR/NGURUNIT"
"239","LOGOLOGO"
"240","LAISAMIS"
"241","WABERA"
"242","BULLA PESA"
"243","CHARI"
"244","CHERAB"
"245","673"
"246","BURAT"
"247","OLDONYIRO"
"248","GARBA TULLA"
"249","KINNA"
"250","SERICHO"
"251","MAUA"
"252","KIEGOI/ANTUBOCHIU"
"253","ATHIRU GAITI"
"254","AKACHIU"
"255","KANUNI"
"256","AKIRANG'ONDU"
"257","ATHIRU RUUJINE"
"258","IGEMBE EAST"
"259","NJIA"
"260","KANGETA"
"261","ANTUAMBUI"
"262","NTUNENE"
"263","ANTUBETWE KIONGO"
"264","NAATHU"
"265","AMWATHI"
"266","ATHWANA"
"267","AKITHII"
"268","KIANJAI"
"269","NKOMO"
"270","MBEU"
"271","THANGATHA"
"272","MIKINDURI"
"273","KIGUCHWA"
"274","MUTHARA"
"275","KARAMA"
"276","MUNICIPALITY"
"277","NTIMA EAST"
"278","NTIMA WEST"
"279","NYAKI WEST"
"280","NYAKI EAST"
"281","NYAKI EAST"
"282","TIMAU"
"283","KISIMA"
"284","KIIRUA/NAARI"
"285","RUIRI/RWARERA"
"286","MWANGANTHIA"
"287","ABOTHUGUCHI CENTRAL"
"288","KIAGU"
"289","KIBIRICHIA"
"290","KIBIRICHIA"
"291","MITUNGUU"
"292","IGOJI EAST"
"293","IGOJI WEST"
"294","ABOGETA EAST"
"295","ABOGETA WEST"
"296","NKUENE"
"297","MITHERU"
"298","MUTHAMBI"
"299","MWIMBI"
"300","GANGA"
"301","CHOGORIA"
"302","MARIANI"
"303","KARINGANI"
"304","MAGUMONI"
"305","MUGWE"
"306","IGAMBANG'OMBE"
"307","GATUNGA"
"308","MUKOTHIMA"
"309","NKONDI"
"310","CHIAKARIGA"
"311","MARIMANTI"
"312","RUGURU/NGANDORI"
"313","KITHIMU"
"314","NGINDA"
"315","MBETI NORTH"
"316","KIRIMARI"
"317","GATURI SOUTH"
"318","GATURI NORTH"
"319","KAGAARI SOUTH"
"320","CENTRAL  WARD"
"321","KAGAARI NORTH"
"322","KYENI NORTH"
"323","KYENI SOUTH"
"324","MWEA"
"325","MAKIMA"
"326","MBETI SOUTH"
"327","MAVURIA"
"328","KIAMBERE"
"329","NTHAWA"
"330","MUMINJI"
"331","EVURORE"
"332","NGOMENI"
"333","KYUSO"
"334","MUMONI"
"335","TSEIKURU"
"336","THARAKA"
"337","KYOME/THAANA"
"338","NGUUTANI"
"339","MIGWANI"
"340","KIOMO/KYETHANI"
"341","CENTRAL"
"342","KIVOU"
"343","NGUNI"
"344","NUU"
"345","MUI"
"346","WAITA"
"347","MUTONGUNI"
"348","KAUWI"
"349","MATINYANI"
"350","KWA MUTONGA/KITHUMULA"
"351","KISASI"
"352","MBITINI"
"353","KWAVONZA/YATTA"
"354","KANYANGI"
"355","MIAMBANI"
"356","TOWNSHIP"
"357","KYANGWITHYA WEST"
"358","MULANGO"
"359","KYANGWITHYA EAST"
"360","ZOMBE/MWITIKA"
"361","NZAMBANI"
"362","CHULUNI"
"363","VOO/KYAMATU"
"364","ENDAU/MALALANI"
"365","MUTITO/KALIKU"
"366","IKANGA/KYATUNE"
"367","MUTOMO"
"368","MUTHA"
"369","IKUTHA"
"370","KANZIKO"
"371","ATHI"
"372","KIVAA"
"373","MASINGA CENTRAL"
"374","EKALAKALA"
"375","MUTHESYA"
"376","NDITHINI"
"377","NDALANI"
"378","MATUU"
"379","KITHIMANI"
"380","IKOMBE"
"381","KATANGI"
"382","KANGUNDO NORTH"
"383","KANGUNDO CENTRAL"
"384","KANGUNDO EAST"
"385","KANGUNDO WEST"
"386","TALA"
"387","MATUNGULU NORTH"
"388","MATUNGULU EAST"
"389","MATUNGULU WEST"
"390","KYELENI"
"391","MITABONI"
"392","KATHIANI CENTRAL"
"393","UPPER KAEWA/IVETI"
"394","LOWER KAEWA/KAANI"
"395","ATHI RIVER"
"396","KINANIE"
"397","MUTHWANI"
"398","SYOKIMAU/MULOLONGO"
"399","KALAMA"
"400","KALAMA"
"401","MUA"
"402","MUTITUNI"
"403","MACHAKOS CENTRAL"
"404","MUMBUNI NORTH"
"405","MUVUTI/KIIMA-KIMWE"
"406","KOLA"
"407","MBIUNI"
"408","MAKUTANO/MWALA"
"409","MASII"
"410","MUTHETHENI"
"411","WAMUNYU"
"412","KIBAUNI"
"413","TULIMANI"
"414","MBOONI"
"415","KITHUNGO/KITUNDU"
"416","KISAU-KITETA"
"417","WAIA/KAKO"
"418","KALAWA"
"419","KASIKEU"
"420","MUKAA"
"421","KIIMA KIU/KALANZONI"
"422","UKIA"
"423","KEE"
"424","KILUNGU"
"425","ILIMA"
"426","WOTE"
"427","MUVAU/KIKUUMINI"
"428","MAVINDINI"
"429","KITISE/KITHUKI"
"430","KATHONZWENI"
"431","NZAUI/KILILI/KALAMBA"
"432","MBITINI"
"433","MAKINDU"
"434","NGUUMO"
"435","KIKUMBULYU NORTH"
"436","KIKUMBULYU SOUTH"
"437","NGUU/MASUMBA"
"438","EMALI/MULALA"
"439","MASONGALENI"
"440","MTITO ANDEI"
"441","THANGE"
"442","IVINGONI/NZAMBANI"
"443","ENGINEER"
"444","GATHARA"
"445","NORTH KINANGOP"
"446","MURUNGARU"
"447","NJABINI\KIBURU"
"448","NYAKIO"
"449","GITHABAI"
"450","MAGUMU"
"451","WANJOHI"
"452","KIPIPIRI"
"453","GETA"
"454","GITHIORO"
"455","KARAU"
"456","KANJUIRI RANGE"
"457","MIRANGINE"
"458","KAIMBAGA"
"459","RURII"
"460","GATHANJI"
"461","GATIMU"
"462","WERU"
"463","CHARAGITA"
"464","LESHAU PONDO"
"465","KIRIITA"
"466","CENTRAL"
"467","SHAMATA"
"468","DEDAN KIMANTHI"
"469","WAMAGANA"
"470","AGUTHI-GAAKI"
"471","MWEIGA"
"472","NAROMORU KIAMATHAGA"
"473","MWIYOGO/ENDARASHA"
"474","MUGUNDA"
"475","GATARAKWA"
"476","THEGU RIVER"
"477","KABARU"
"478","GAKAWA"
"479","RUGURU"
"480","MAGUTU"
"481","IRIAINI"
"482","KONYU"
"483","KIRIMUKUYU"
"484","KARATINA TOWN"
"485","MAHIGA"
"486","IRIA-INI"
"487","CHINGA"
"488","KARIMA"
"489","GIKONDI"
"490","RUGI"
"491","MUKURWE-INI WEST"
"492","MUKURWE-INI CENTRAL"
"493","KIGANJO/MATHARI"
"494","RWARE"
"495","GATITU/MURUGURU"
"496","RURING'U"
"497","KAMAKWA/MUKARO"
"498","MUTITHI"
"499","KANGAI"
"500","THIBA"
"501","WAMUMU"
"502","NYANGATI"
"503","MURINDUKO"
"504","GATHIGIRIRI"
"505","TEBERE"
"506","KABARE"
"507","BARAGWI"
"508","NJUKIINI"
"509","NGARIAMA"
"510","KARUMANDI"
"511","MUKURE"
"512","KIINE"
"513","KARITI"
"514","MUTIRA"
"515","KANYEKINI"
"516","KERUGOYA"
"517","INOI"
"518","KANYENYA-INI"
"519","MUGURU"
