ADEMASAJIDA,ADEMASAJIDE
AGENGA/NANGUBA,AGENG'A NANGUBA
AIRBASES,AIRBASE
AMAKURA CENTRAL,AMUKURA CENTRAL
ANGATA BARRIKOI,ANGATA BARIKOI
ANGATA NANYUKIE,ANGATA NANYOKIE
ANGOROM,ANG'OROM
ANGURAI EAST,ANG'URAI EAST
ANGURAI NORTH,ANG'URAI NORTH
ANGURAI SOUTH,ANG'URAI SOUTH
BABADOGO,BABA DOGO
BANANEY,BENANE
BARWAQO,BARAGWI
BOKOILI,BOKOLI
BOMENI,BOMANI
BUKUMBA,BUKEMBE EAST
BULABESA,BULLA PESA
BURDERE,BURDER
BUTALI /CHEGULO,BUTALI/CHEGULO
CALIFONIA,CALIFORNIA
CHALLA,CHALA
CHEMUNDU/KAPNG'ETUNYI,CHEMUNDU/KAPNG'ETUNY
CHENGOVI /SAMBURU,CHENGONI/SAMBURU
CHERANGANY,CHERANGANY/SUWERWA
DADAJABULLA,DADAJA BULLA
DAMAJALEY,DAMAJALE
DANYERERE,DANYERE
DEKAHARJA,DEKAHARIA
DELA,DELLA
DIDAN KIMATHI,DEDAN KIMANTHI
ELWAK,ELWAK NORTH
ENTONET /LENKISM,ENTONET/LENKISIM
ENUR,ELNUR/TULA TULA
EWALEL/CHAPCHAP,EWALEL CHAPCHAP
EWUASO OOKIDONGI,EWUASO OONKIDONG'I
GATITU /MURUGURU,GATITU/MURUGURU
GATUANYALA,GATUANYAGA
HABASWEIN,HABASSWEIN
HADADO,HADADO/ATHIBOHOL
HOMA-BAY ARUJO,HOMA BAY ARUJO
HOMA-BAY EAST,HOMA BAY EAST
HOMA-BAY WEST,HOMA BAY WEST
HOMABAY CENTRAL,HOMA BAY CENTRAL
IGAMBANGOMBE,IGAMBANG'OMBE
IGEMBE,IGEMBE EAST
JARJARA,JARA JARA
KABONYO /KANYAGWAL,KABONYO/KANYAGWAL
KAGUNDU -INI,KAGUNDU-INI
KAHAWA WENDANI,KAHAWA
KANJUIRI,KANJUIRI RANGE
KANZIKU/SIMISI,KANZIKO
KAPUTIET,KAPUTIEI NORTH
KARU,KARAU
KASIGHAU,KASIGAU
KEIYAN,KEYIAN
KIBANI,KIBAUNI
KIHUMBUINI,KIHUMBU-INI
KIIMAKIO KALANZONI,KIAMAIKO
KIIRUA /NAAARI,KIRU
KIKIMBULYU SOUTH,KIKUMBULYU SOUTH
KIMINDET,KIMINTET
KINGANJO,KINANGO
KIPTUIYA,KIPTUYA
KIRITI,KIRIITA
KISEMENI,KISIMA
KITHUNGO KITUNDU,KITHUNGO/KITUNDU
KITISEI/KITHUKI,KITISE/KITHUKI
KIUU/GITHURAI,KIUU
KOLOWA/LOWIAT,KOLOWA
KORONDILLE,KORONDILE
KOTAPUK /LOBEI,KOTARUK/LOBEI
KURGUNGI/SURUNGAI,KURGUNG/SURUNGAI
KWAMUTONGA/KITHUMULA,KWA MUTONGA/KITHUMULA
LABSIGALE,LABASIGALE
LAKEZONE,LAKE ZONE
LARI /KIRENGO,LARI/KIRENGA
LEKOLE SOUTH/BASIR,LAKOLEY SOUTH/BASIR
